"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon"
"Firegrass","Unlimited","Card Text A fire-breathing plant found growing near volcanoes.","Attribute EARTH","Level 2","Monster Type Plant","Card Type Normal","ATK 700","DEF 600",""
"Man Eater","Unlimited","Card Text Man-eating plant with poison feelers for attacking enemies.","Attribute EARTH","Level 2","Monster Type Plant","Card Type Normal","ATK 800","DEF 600",""
"Dig Beak","Unlimited","Card Text This beast coils like a snake, and strikes quickly with its snapping beak.","Attribute EARTH","Level 2","Monster Type Beast","Card Type Normal","ATK 500","DEF 800",""
"M-Warrior #1","Unlimited","Card Text Specializing in combination attacks, this warrior uses magnetism to block an enemy's escape.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 1000","DEF 500",""
"M-Warrior #2","Unlimited","Card Text Specializing in combination attacks, this warrior is equipped with a tough, magnetically coated armor.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 500","DEF 1000",""
"Tainted Wisdom","Unlimited","Card Text If this Attack Position card is changed to face-up Defense Position: Shuffle your Deck.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 1250","DEF 800",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"The Judgement Hand","Unlimited","Card Text An all-powerful hand that delivers ruthless attacks.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 1400","DEF 700",""
"Mysterious Puppeteer","Unlimited","Card Text Each time you or your opponent Normal Summons or Flip Summons a monster, increase your Life Points by 500 points.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1000","DEF 1500",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Darkfire Dragon","Unlimited","Card Text ""Firegrass"" + ""Petit Dragon""","Attribute DARK","Level 4","Monster Type Dragon","Card Type Fusion","ATK 1500","DEF 1250",""
"Dark King of the Abyss","Unlimited","Card Text It's said that this King of the Netherworld once had the power to rule over the dark.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Normal","ATK 1200","DEF 800",""
"Spirit of the Harp","Unlimited","Card Text A spirit that soothes the soul with the music of its heavenly harp.","Attribute LIGHT","Level 4","Monster Type Fairy","Card Type Normal","ATK 800","DEF 2000",""
"Big Eye","Unlimited","Card Text FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1200","DEF 1000",""
"Armaill","Unlimited","Card Text A strange warrior who manipulates three deadly blades with both hands and his tail.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 700","DEF 1300",""
"Dark Prisoner","Unlimited","Card Text This monster bends light to hide its image from the eyes of opponents.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Normal","ATK 600","DEF 1000",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Ancient Brain","Unlimited","Card Text A fallen fairy that is powerful in the dark.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Normal","ATK 1000","DEF 700",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Claw Reacher","Unlimited","Card Text Stretching arms and razor-sharp claws make this monster a formidable opponent.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Normal","ATK 1000","DEF 800",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Fiend Reflection #2","Unlimited","Card Text A bird-beast that summons reinforcements with a hand mirror.","Attribute LIGHT","Level 4","Monster Type Winged Beast","Card Type Normal","ATK 1100","DEF 1400",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Fusionist","Unlimited","Card Text ""Petit Angel"" + ""Mystical Sheep #2""","Attribute EARTH","Level 3","Monster Type Beast","Card Type Fusion","ATK 900","DEF 700",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Key Mace","Unlimited","Card Text Enemies' hearts will melt at the sight of this small fairy's cuteness.","Attribute LIGHT","Level 1","Monster Type Fairy","Card Type Normal","ATK 400","DEF 300",""
"Turtle Tiger","Unlimited","Card Text A tiger encased in a protective shell that attacks with razor-sharp fangs.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Normal","ATK 1000","DEF 1500",""
"Terra the Terrible","Unlimited","Card Text Known as a swamp dweller, this creature is a minion of the dark forces.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1200","DEF 1300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Happy Lover","Unlimited","Card Text Enemies become overjoyed when struck by the Heart Ray emitted from the forehead of this tiny cherub.","Attribute LIGHT","Level 2","Monster Type Fairy","Card Type Normal","ATK 800","DEF 500",""
"Penguin Knight","Unlimited","Card Text When this card is sent directly from your Deck to the Graveyard by an effect of a card controlled by your opponent, unite your Graveyard cards and your own Deck, shuffle them and form a new Deck.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Effect","ATK 900","DEF 800",""
"Petit Dragon","Unlimited","Card Text A very small dragon known for its vicious attacks.","Attribute WIND","Level 2","Monster Type Dragon","Card Type Normal","ATK 600","DEF 700",""
"Frenzied Panda","Unlimited","Card Text A savage beast that carries a big bamboo stick for beating down its enemies.","Attribute EARTH","Level 4","Monster Type Beast","Card Type Normal","ATK 1200","DEF 1000",""
"Archfiend Marmot of Nefariousness","Unlimited","Card Text An air marmot that has a nefarious horn and wings. It attacks by throwing acorns.","Attribute EARTH","Level 2","Monster Type Beast","Card Type Normal","ATK 400","DEF 600",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Droll Bird","Unlimited","Card Text This monster stuns its enemies with a massive beak and ear-piercing wails.","Attribute WIND","Level 2","Monster Type Winged Beast","Card Type Normal","ATK 600","DEF 500",""
"Petit Angel","Unlimited","Card Text A quick-moving and tiny fairy that's very difficult to hit.","Attribute LIGHT","Level 3","Monster Type Fairy","Card Type Normal","ATK 600","DEF 900",""
"Winged Cleaver","Unlimited","Card Text Few can withstand the scythe-like arms of this dangerous creature.","Attribute EARTH","Level 2","Monster Type Insect","Card Type Normal","ATK 700","DEF 700",""
"Hinotama Soul","Unlimited","Card Text An intensely hot flame creature that rams anything standing in its way.","Attribute FIRE","Level 2","Monster Type Pyro","Card Type Normal","ATK 600","DEF 500",""
"Thunder Kid","Unlimited","Card Text This monster stores electricity within his body, and can unleash it with catastrophic power.","Attribute WIND","Level 2","Monster Type Thunder","Card Type Normal","ATK 700","DEF 600",""
"Meotoko","Unlimited","Card Text Dis big ol' guy wit' a big ol' eye shoots a nasty ray beam right atcha!","Attribute EARTH","Level 2","Monster Type Beast","Card Type Normal","ATK 700","DEF 600",""
"Aqua Madoor","Unlimited","Card Text A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.","Attribute WATER","Level 4","Monster Type Spellcaster","Card Type Normal","ATK 1200","DEF 2000",""
"Kagemusha of the Blue Flame","Unlimited","Card Text Serving as a double for the Ruler of the Blue Flame, he's a master swordsman that wields a fine blade.","Attribute EARTH","Level 2","Monster Type Warrior","Card Type Normal","ATK 800","DEF 400",""
"Flame Ghost","Unlimited","Card Text ""Skull Servant"" + ""Dissolverock""","Attribute DARK","Level 3","Monster Type Zombie","Card Type Fusion","ATK 1000","DEF 800",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"B. Skull Dragon","Unlimited","Card Text ""Summoned Skull"" + ""Red-Eyes B. Dragon""(This card is always treated as an ""Archfiend"" card.)","Attribute DARK","Level 9","Monster Type Dragon","Card Type Fusion","ATK 3200","DEF 2500",""
"Two-Mouth Darkruler","Unlimited","Card Text A dinosaur with two deadly jaws, it stores electricity in its horn and releases high voltage bolts from the mouth on its back.","Attribute EARTH","Level 3","Monster Type Dinosaur","Card Type Normal","ATK 900","DEF 700",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Masked Sorcerer","Unlimited","Card Text When this card inflicts Battle Damage to your opponent's Life Points, draw 1 card from your Deck.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 900","DEF 1400",""
"Kumootoko","Unlimited","Card Text A massive, intelligent spider that traps enemies with webbing.","Attribute EARTH","Level 3","Monster Type Insect","Card Type Normal","ATK 700","DEF 1400",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Roaring Ocean Snake","Unlimited","Card Text ""Mystic Lamp"" + ""Hyosube""","Attribute WATER","Level 6","Monster Type Aqua","Card Type Fusion","ATK 2100","DEF 1800",""
"Trap Master","Unlimited","Card Text FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 500","DEF 1100",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Skull Stalker","Unlimited","Card Text Foist he's gonna grab yer monstah wit' his claws, den attack again wit' his poizin stingah!","Attribute DARK","Level 3","Monster Type Warrior","Card Type Normal","ATK 900","DEF 800",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Rare Fish","Unlimited","Card Text ""Fusionist"" + ""Enchanting Mermaid""","Attribute WATER","Level 4","Monster Type Fish","Card Type Fusion","ATK 1500","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Dark Titan of Terror","Unlimited","Card Text A fiend said to dwell in the world of dreams, it attacks enemies in their sleep.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1300","DEF 1100",""
"Beautiful Headhuntress","Unlimited","Card Text A vicious creature that has decapitated numerous enemy monsters.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1600","DEF 800",""
"Wodan the Resident of the Forest","Unlimited","Card Text Increase this card's ATK by 100 points for every Plant-Type monster that is face-up on the field.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 900","DEF 1200",""
"Guardian of the Labyrinth","Unlimited","Card Text A monster that guards the entrance to the Netherworld.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1000","DEF 1200",""
"Haniwa","Unlimited","Card Text An earthen figure that protects the tomb of an ancient ruler.","Attribute EARTH","Level 2","Monster Type Rock","Card Type Normal","ATK 500","DEF 500",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Dark Assailant","Unlimited","Card Text Armed with the Psycho Sword, this sinister assassin rules the bad land.","Attribute DARK","Level 4","Monster Type Zombie","Card Type Normal","ATK 1200","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Dissolverock","Unlimited","Card Text A monster born in the lava pits, it generates intense heat that can melt away its enemies.","Attribute EARTH","Level 3","Monster Type Rock","Card Type Normal","ATK 900","DEF 1000",""
"Meda Bat","Unlimited","Card Text An eyeball fiend created by a servant of the wicked, it uses ""Dark Blasts"" to blow away its enemies.","Attribute DARK","Level 2","Monster Type Fiend","Card Type Normal","ATK 800","DEF 400",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Root Water","Unlimited","Card Text An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy monsters.","Attribute WATER","Level 3","Monster Type Fish","Card Type Normal","ATK 900","DEF 800",""
"Master & Expert","Unlimited","Card Text A deadly duo consisting of a beast master and its loyal servant.","Attribute EARTH","Level 4","Monster Type Beast","Card Type Normal","ATK 1200","DEF 1000",""
"Water Omotics","Unlimited","Card Text Transforms the water overflowing from a jar into attacking dragons.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Normal","ATK 1400","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Enchanting Mermaid","Unlimited","Card Text A beautiful mermaid that lures voyagers to a watery grave.","Attribute WATER","Level 3","Monster Type Fish","Card Type Normal","ATK 1200","DEF 900",""
"Nekogal #1","Unlimited","Card Text A pussycat-fairy. Contrary to her lovely beauty, she claws on her enemies.","Attribute EARTH","Level 3","Monster Type Beast","Card Type Normal","ATK 1100","DEF 900",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Prevent Rat","Unlimited","Card Text This creature is shielded with a tough hide of hair and is excellent at defending itself.","Attribute EARTH","Level 4","Monster Type Beast","Card Type Normal","ATK 500","DEF 2000",""
"D.D. Warrior","Unlimited","Card Text After damage calculation, when this card battles a monster: Banish that monster, also banish this card.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1200","DEF 1000",""
"Stone Armadiller","Unlimited","Card Text Dis stone crittah's got rock-hahd fur. Dat gives him some really good dee-fense!","Attribute EARTH","Level 3","Monster Type Rock","Card Type Normal","ATK 800","DEF 1200",""
"Beastking of the Swamps","Unlimited","Card Text You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).","Attribute WATER","Level 4","Monster Type Aqua","Card Type Effect","ATK 1000","DEF 1100",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"The Little Swordsman of Aile","Unlimited","Card Text Offer 1 monster on your side of the field as a Tribute to increase this monster's ATK by 700 points until the end of the turn.","Attribute WATER","Level 3","Monster Type Warrior","Card Type Effect","ATK 800","DEF 1300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"The Furious Sea King","Unlimited","Card Text Grand King of the Seven Seas, he's able to summon massive tidal waves to drown the enemy.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Normal","ATK 800","DEF 700",""
"Princess of Tsurugi","Unlimited","Card Text FLIP: Inflict 500 points of damage to your opponent's Life Points for each Spell and Trap Card on your opponent's side of the field.","Attribute WIND","Level 3","Monster Type Warrior","Card Type Effect","ATK 900","DEF 700",""
"Unknown Warrior of Fiend","Unlimited","Card Text The speed of this warrior creates an intense vacuum that can slice through a monster's hide.","Attribute DARK","Level 3","Monster Type Warrior","Card Type Normal","ATK 1000","DEF 500",""
"Sectarian of Secrets","Unlimited","Card Text This wizard worships the darkness, and is served by a sinister hand that drags its enemies into oblivion.","Attribute DARK","Level 2","Monster Type Spellcaster","Card Type Normal","ATK 700","DEF 500",""
"Versago the Destroyer","Unlimited","Card Text You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 1100","DEF 900",""
"Wetha","Unlimited","Card Text A spirit that controls rain and is capable of summoning hurricanes to blow the enemy away.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Normal","ATK 1000","DEF 900",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Mavelus","Unlimited","Card Text ""Tyhone"" + ""Wings of Wicked Flame""","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Fusion","ATK 1300","DEF 900",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Green Phantom King","Unlimited","Card Text This youthful king of the forests lives in a green world, abundant with trees and wildlife.","Attribute EARTH","Level 3","Monster Type Plant","Card Type Normal","ATK 500","DEF 1600",""
"Ground Attacker Bugroth","Unlimited","Card Text A surface battle robot that was once used for sea warfare.","Attribute EARTH","Level 4","Monster Type Machine","Card Type Normal","ATK 1500","DEF 1000",""
"Ray & Temperature","Unlimited","Card Text The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.","Attribute LIGHT","Level 3","Monster Type Fairy","Card Type Normal","ATK 1000","DEF 1000",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Petit Moth","Unlimited","Card Text This small but deadly creature is better off avoided.","Attribute EARTH","Level 1","Monster Type Insect","Card Type Normal","ATK 300","DEF 200",""
"King Fog","Unlimited","Card Text A fiend that dwells in a blinding curtain of smoke.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Normal","ATK 1000","DEF 900",""
"Protector of the Throne","Unlimited","Card Text While the king is away, this queen protects his throne with a mighty defense.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 800","DEF 1500",""
"Mystic Clown","Unlimited","Card Text Nothing can stop the mad attack of this powerful creature.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1500","DEF 1000",""
"Mystical Sheep #2","Unlimited","Card Text A monstrous sheep with a long tail for hypnotizing enemies.","Attribute EARTH","Level 3","Monster Type Beast","Card Type Normal","ATK 800","DEF 1000",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Gatekeeper","Unlimited","Card Text An indestructible mechanoid created for the sole purpose of guarding the gateways.","Attribute DARK","Level 5","Monster Type Machine","Card Type Normal","ATK 1500","DEF 1800",""
"Ogre of the Black Shadow","Unlimited","Card Text An ogre possessed by the powers of the dark. Few can withstand its rapid charge.","Attribute EARTH","Level 4","Monster Type Beast-Warrior","Card Type Normal","ATK 1200","DEF 1400",""
"Dark Artist","Unlimited","Card Text If this card is being attacked by a LIGHT monster, its DEF is halved during damage calculation only.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 600","DEF 1400",""
"Change Slime","Unlimited","Card Text A slime that can morph and adopt the shape and size of any monster it chooses.","Attribute WATER","Level 1","Monster Type Aqua","Card Type Normal","ATK 400","DEF 300",""
"Moon Envoy","Unlimited","Card Text Many have fallen victim to this lunar warrior's crescent pike.","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Normal","ATK 1100","DEF 1000",""
"Fireyarou","Unlimited","Card Text A malevolent creature wrapped in flames that attacks enemies with intense fire.","Attribute FIRE","Level 4","Monster Type Pyro","Card Type Normal","ATK 1300","DEF 1000",""
"Psychic Kappa","Unlimited","Card Text An amphibian with a myriad of powers to shield it from enemy attacks.","Attribute WATER","Level 2","Monster Type Aqua","Card Type Normal","ATK 400","DEF 1000",""
"Masaki the Legendary Swordsman","Unlimited","Card Text Legendary swordmaster Masaki is a veteran of over 100 battles.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1100","DEF 1100",""
"Dragoness the Wicked Knight","Unlimited","Card Text ""Armaill"" + ""One-Eyed Shield Dragon""","Attribute WIND","Level 3","Monster Type Warrior","Card Type Fusion","ATK 1200","DEF 900",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"One-Eyed Shield Dragon","Unlimited","Card Text This dragon wears a shield not only for its own protection, but also for ramming its enemies.","Attribute WIND","Level 3","Monster Type Dragon","Card Type Normal","ATK 700","DEF 1300",""
"Cyber Soldier of Darkworld","Unlimited","Card Text A mechanical soldier that won't stop attacking until all life readings have been extinguished from its sensors.","Attribute DARK","Level 4","Monster Type Machine","Card Type Normal","ATK 1400","DEF 1200",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Sonic Maid","Unlimited","Card Text A maiden that uses sound to her advantage, she wields a scythe that's shaped like a musical note.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Normal","ATK 1200","DEF 900",""
"Kurama","Unlimited","Card Text A vicious bird that attacks from the skies with its whip-like tail.","Attribute WIND","Level 3","Monster Type Winged Beast","Card Type Normal","ATK 800","DEF 800",""
"Legendary Sword","Unlimited","Card Text Equip only to a Warrior monster. It gains 300 ATK/DEF.","","","","","","","Icon Equip Spell"
"Sword of Dark Destruction","Unlimited","Card Text Equip only to a DARK monster. It gains 400 ATK and loses 200 DEF.","","","","","","","Icon Equip Spell"
"Dark Energy","Unlimited","Card Text A Fiend-Type monster equipped with this card increases its ATK and DEF by 300 points.","","","","","","","Icon Equip Spell"
"Axe of Despair","Unlimited","Card Text (This card is always treated as an ""Archfiend"" card.)The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; place this card on the top of your Deck.","","","","","","","Icon Equip Spell"
"Laser Cannon Armor","Unlimited","Card Text Equip only to an Insect monster. It gains 300 ATK/DEF.","","","","","","","Icon Equip Spell"
"Insect Armor with Laser Cannon","Unlimited","Card Text Equip only to an Insect monster. It gains 700 ATK.","","","","","","","Icon Equip Spell"
"Elf's Light","Unlimited","Card Text A LIGHT monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.","","","","","","","Icon Equip Spell"
"Beast Fangs","Unlimited","Card Text A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.","","","","","","","Icon Equip Spell"
"Steel Shell","Unlimited","Card Text A WATER monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.","","","","","","","Icon Equip Spell"
"Vile Germs","Unlimited","Card Text A Plant-Type monster equipped with this card increases its ATK and DEF by 300 points.","","","","","","","Icon Equip Spell"
"Black Pendant","Unlimited","Card Text The equipped monster gains 500 ATK. When this card is sent from the field to the Graveyard: Inflict 500 damage to your opponent.","","","","","","","Icon Equip Spell"
"Silver Bow and Arrow","Unlimited","Card Text A Fairy-Type monster equipped with this card increases its ATK and DEF by 300 points.","","","","","","","Icon Equip Spell"
"Horn of Light","Unlimited","Card Text Increase the DEF of a monster equipped with this card by 800 points. When this card is sent from the field to the Graveyard, if you pay 500 Life Points, this card returns to the top of your Deck.","","","","","","","Icon Equip Spell"
"Horn of the Unicorn","Unlimited","Card Text The equipped monster gains 700 ATK and DEF. When this card is sent from the field to the Graveyard: Return it to the top of the Deck.","","","","","","","Icon Equip Spell"
"Dragon Treasure","Unlimited","Card Text A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.","","","","","","","Icon Equip Spell"
"Electro-Whip","Unlimited","Card Text A Thunder-Type monster equipped with this card increases its ATK and DEF by 300 points.","","","","","","","Icon Equip Spell"
"Cyber Shield","Unlimited","Card Text Equip only to ""Harpie Lady"" or ""Harpie Lady Sisters"". It gains 500 ATK.","","","","","","","Icon Equip Spell"
"Elegant Egotist","Unlimited","Card Text If ""Harpie Lady"" is on the field: Special Summon 1 ""Harpie Lady"" or ""Harpie Lady Sisters"" from your hand or Deck.","","","","","","","Icon Normal Spell"
"Mystical Moon","Unlimited","Card Text Equip only to a Beast-Warrior-Type monster. It gains 300 ATK and DEF.","","","","","","","Icon Equip Spell"
"Stop Defense","Unlimited","Card Text Select 1 Defense Position monster on your opponent's side of the field and change it to Attack Position.","","","","","","","Icon Normal Spell"
"Malevolent Nuzzler","Unlimited","Card Text The equipped monster gains 700 ATK. When this card is sent from the field to the Graveyard: You can pay 500 LP; place this card on the top of your Deck.","","","","","","","Icon Equip Spell"
"Violet Crystal","Unlimited","Card Text (This card is not treated as a ""Crystal"" card.)Equip only to a Zombie monster. It gains 300 ATK/DEF.","","","","","","","Icon Equip Spell"
"Book of Secret Arts","Unlimited","Card Text A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.","","","","","","","Icon Equip Spell"
"Invigoration","Unlimited","Card Text An EARTH monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.","","","","","","","Icon Equip Spell"
"Machine Conversion Factory","Unlimited","Card Text Equip only to a Machine monster. It gains 300 ATK/DEF.","","","","","","","Icon Equip Spell"
"Raise Body Heat","Unlimited","Card Text Equip only to a Dinosaur monster. It gains 300 ATK/DEF.","","","","","","","Icon Equip Spell"
"Follow Wind","Unlimited","Card Text A Winged Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.","","","","","","","Icon Equip Spell"
"Power of Kaishin","Unlimited","Card Text Equip only to an Aqua monster. It gains 300 ATK/DEF.","","","","","","","Icon Equip Spell"
"Dragon Capture Jar","Unlimited","Card Text Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.","","","","","","","Icon Continuous Trap"
"Forest","Unlimited","Card Text All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF.","","","","","","","Icon Field Spell"
"Wasteland","Unlimited","Card Text All Dinosaur, Zombie, and Rock monsters on the field gain 200 ATK/DEF.","","","","","","","Icon Field Spell"
"Mountain","Unlimited","Card Text All Dragon, Winged Beast, and Thunder monsters on the field gain 200 ATK/DEF.","","","","","","","Icon Field Spell"
"Sogen","Unlimited","Card Text All Warrior and Beast-Warrior monsters on the field gain 200 ATK/DEF.","","","","","","","Icon Field Spell"
"Umi","Unlimited","Card Text All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF, also all Machine and Pyro monsters on the field lose 200 ATK/DEF.","","","","","","","Icon Field Spell"
"Yami","Unlimited","Card Text All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF.","","","","","","","Icon Field Spell"
"Dark Hole","Unlimited","Card Text Destroy all monsters on the field.","","","","","","","Icon Normal Spell"
"Raigeki","Limited","Card Text Destroy all monsters your opponent controls. Limited","","","","","","","Icon Normal Spell"
"Mooyan Curry","Unlimited","Card Text Choose 1 player; that player gains 200 Life Points.","","","","","","","Icon Normal Spell"
"Red Medicine","Unlimited","Card Text Increase your Life Points by 500 points.","","","","","","","Icon Normal Spell"
"Goblin's Secret Remedy","Unlimited","Card Text Increase your Life Points by 600 points.","","","","","","","Icon Normal Spell"
"Soul of the Pure","Unlimited","Card Text Increase your Life Points by 800 points.","","","","","","","Icon Normal Spell"
"Dian Keto the Cure Master","Unlimited","Card Text Increase your Life Points by 1000 points.","","","","","","","Icon Normal Spell"
"Sparks","Unlimited","Card Text Inflict 200 points of damage to your opponent's Life Points.","","","","","","","Icon Normal Spell"
"Hinotama","Unlimited","Card Text Inflict 500 damage to your opponent.","","","","","","","Icon Normal Spell"
"Final Flame","Unlimited","Card Text Inflict 600 points of damage to your opponent's Life Points.","","","","","","","Icon Normal Spell"
"Ookazi","Unlimited","Card Text Inflict 800 points of damage to your opponent's Life Points.","","","","","","","Icon Normal Spell"
"Tremendous Fire","Unlimited","Card Text Inflict 1000 points of damage to your opponent's Life Points and 500 points of damage to your Life Points.","","","","","","","Icon Normal Spell"
"Swords of Revealing Light","Unlimited","Card Text After this card's activation, it remains on the field, but you must destroy it during the End Phase of your opponent's 3rd turn. When this card is activated: If your opponent controls a face-down monster, flip all monsters they control face-up. While this card is face-up on the field, your opponent's monsters cannot declare an attack.","","","","","","","Icon Normal Spell"
"Spellbinding Circle","Unlimited","Card Text Activate this card by targeting 1 monster your opponent controls; it cannot attack or change its battle position. When that monster is destroyed, destroy this card.","","","","","","","Icon Continuous Trap"
"Dark-Piercing Light","Unlimited","Card Text Flip all face-down monsters on your opponent's side of the field face-up.","","","","","","","Icon Normal Spell"
"Yaranzo","Unlimited","Card Text A treasure box containing a monster that attacks any unwary bandit.","Attribute DARK","Level 4","Monster Type Zombie","Card Type Normal","ATK 1300","DEF 1500",""
