"Card Name","Status","Card Text","Icon","Attribute","Level","Monster Type","Card Type","ATK","DEF"
"Divine Sword - Phoenix Blade","Unlimited","Card Text Equip only to a Warrior monster. It gains 300 ATK. During your Main Phase, if this card is in your GY: You can banish 2 Warrior monsters from your GY; add this card to your hand.","Icon Equip Spell","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Dreadscythe Harvester","Unlimited","Card Text You can Tribute 1 Insect-Type monster to have this card gain 500 ATK until the end of the turn.","","Attribute WIND","Level 8","Monster Type Insect","Card Type Effect","ATK 2300","DEF 1600"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Elemental HERO Shining Flare Wingman","Unlimited","Card Text ""Elemental HERO Flame Wingman"" + ""Elemental HERO Sparkman""Must be Fusion Summoned and cannot be Special Summoned by other ways. This card gains 300 ATK for each ""Elemental HERO"" card in your Graveyard. When this card destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to the ATK of the destroyed monster in the Graveyard.","","Attribute LIGHT","Level 8","Monster Type Warrior","Card Type Fusion / Effect","ATK 2500","DEF 2100"
"Level Modulation","Unlimited","Card Text Your opponent draws 2 cards. Special Summon 1 ""LV"" monster from your Graveyard, ignoring the Summoning conditions. The monster that was Special Summoned by this effect cannot attack, nor activate or apply its effect this turn.","Icon Normal Spell","","","","","",""
"Ojamuscle","Unlimited","Card Text (This card is always treated as a ""Ojama"" card.)Select 1 face-up ""Ojama King"". Destroy all ""Ojama"" monsters on the field, except the selected ""Ojama King"". It gains 1000 ATK for each monster destroyed this way.","Icon Normal Spell","","","","","",""
"Ojamagic","Unlimited","Card Text If this card is sent from the hand or field to the GY: Add 1 each of ""Ojama Green"", ""Ojama Yellow"" and ""Ojama Black"" from your Deck to your hand.","Icon Normal Spell","","","","","",""
"V-Tiger Jet","Unlimited","Card Text This ace fighter is unbeatable in a dogfight. It combines with other monsters to launch an array of encircling attacks.","","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Normal","ATK 1600","DEF 1800"
"Blade Skater","Unlimited","Card Text An image of beauty on the ice, this gorgeous warrior rips her opponents into pieces with her stylish Accel Slicer attack.","","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1400","DEF 1500"
"Reborn Zombie","Unlimited","Card Text While you have no cards in your hand and this card is in Attack Position, it cannot be destroyed by battle.","","Attribute DARK","Level 4","Monster Type Zombie","Card Type Effect","ATK 1000","DEF 1600"
"Chthonian Soldier","Unlimited","Card Text When this card is destroyed by an opponent's attacking monster and sent to the Graveyard, the Battle Damage you took from this battle is also inflicted to your opponent.","","Attribute DARK","Level 4","Monster Type Warrior","Card Type Effect","ATK 1200","DEF 1400"
"W-Wing Catapult","Unlimited","Card Text Once per turn, you can either: Target 1 ""V-Tiger Jet"" you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card gains 400 ATK/DEF, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.","","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Union / Effect","ATK 1300","DEF 1500"
"Infernal Incinerator","Unlimited","Card Text This card can only be Normal Summoned or Set by discarding all other card(s) in your hand and Tributing 1 card you control with 2000 or more ATK. This card gains 200 ATK for each monster your opponent controls. This card loses 500 ATK for each other monster you control.","","Attribute FIRE","Level 6","Monster Type Fiend","Card Type Effect","ATK 2800","DEF 1800"
"Elemental HERO Bladedge","Unlimited","Card Text If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.","","Attribute EARTH","Level 7","Monster Type Warrior","Card Type Effect","ATK 2600","DEF 1800"
"Elemental HERO Wildheart","Unlimited","Card Text This card is unaffected by Trap effects.","","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1500","DEF 1600"
"Hydrogeddon","Unlimited","Card Text When this card destroys an opponent's monster by battle and sends it to the GY: You can Special Summon 1 ""Hydrogeddon"" from your Deck.","","Attribute WATER","Level 4","Monster Type Dinosaur","Card Type Effect","ATK 1600","DEF 1000"
"Oxygeddon","Unlimited","Card Text If this card is destroyed by battle with a Pyro monster and sent to the GY: Each player takes 800 damage.","","Attribute WIND","Level 4","Monster Type Dinosaur","Card Type Effect","ATK 1800","DEF 800"
"Water Dragon","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned with ""Bonding - H2O"". The ATK of FIRE monsters and Pyro monsters on the field becomes 0. When this card is destroyed and sent to the GY: You can target 2 ""Hydrogeddon"" and 1 ""Oxygeddon"" in your GY; Special Summon them.","","Attribute WATER","Level 8","Monster Type Sea Serpent","Card Type Effect","ATK 2800","DEF 2600"
"Etoile Cyber","Unlimited","Card Text If this card attacks your opponent directly, it gains 500 ATK during the Damage Step only.","","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1200","DEF 1600"
"VW-Tiger Catapult","Unlimited","Card Text ""V-Tiger Jet"" + ""W-Wing Catapult""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use ""Polymerization"".) You can discard 1 card, then target 1 monster your opponent controls; change that target's battle position. (Flip Effects are not activated.)","","Attribute LIGHT","Level 6","Monster Type Machine","Card Type Fusion / Effect","ATK 2000","DEF 2100"
"VWXYZ-Dragon Catapult Cannon","Unlimited","Card Text ""VW-Tiger Catapult"" + ""XYZ-Dragon Cannon""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use ""Polymerization"".) Once per turn: You can target 1 card your opponent controls; banish that target. When this card declares an attack on an opponent's monster: You can target the attack target; change that attack target's battle position. (Flip Effects are not activated.)","","Attribute LIGHT","Level 8","Monster Type Machine","Card Type Fusion / Effect","ATK 3000","DEF 2800"
"Cyber Blader","Unlimited","Card Text ""Etoile Cyber"" + ""Blade Skater""A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. While your opponent controls only 1 monster, this card cannot be destroyed by battle. While your opponent controls only 2 monsters, double this card's ATK. While your opponent controls only 3 monsters, negate the effects of your opponent's Spell, Trap, and Effect Monster Cards.","","Attribute EARTH","Level 7","Monster Type Warrior","Card Type Fusion / Effect","ATK 2100","DEF 800"
"Elemental HERO Rampart Blaster","Unlimited","Card Text ""Elemental HERO Clayman"" + ""Elemental HERO Burstinatrix""Must be Fusion Summoned and cannot be Special Summoned by other ways. This card can attack while in face-up Defense Position, but only if your opponent controls no monsters, and if it does, this card's ATK is halved during damage calculation only.","","Attribute EARTH","Level 6","Monster Type Warrior","Card Type Fusion / Effect","ATK 2000","DEF 2500"
"Elemental HERO Tempest","Unlimited","Card Text ""Elemental HERO Avian"" + ""Elemental HERO Sparkman"" + ""Elemental HERO Bubbleman""Must be Fusion Summoned and cannot be Special Summoned by other ways. You can send 1 other card you control to the Graveyard to target 1 monster you control; while this card is face-up on the field, that monster cannot be destroyed by battle.","","Attribute WIND","Level 8","Monster Type Warrior","Card Type Fusion / Effect","ATK 2800","DEF 2800"
"Elemental HERO Wildedge","Unlimited","Card Text ""Elemental HERO Wildheart"" + ""Elemental HERO Bladedge""Must be Fusion Summoned and cannot be Special Summoned by other ways. This card can attack every monster your opponent controls (one attack on each monster per Battle Phase).","","Attribute EARTH","Level 8","Monster Type Warrior","Card Type Fusion / Effect","ATK 2600","DEF 2300"
"Chthonian Alliance","Unlimited","Card Text The equipped monster gains 800 ATK for each other face-up monster on the field that has the same name it does.","Icon Equip Spell","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Feather Shot","Unlimited","Card Text Target 1 face-up ""Elemental HERO Avian"" you control; during this turn, that target can attack a number of times equal to the number of monsters you control when this card resolves, but cannot attack directly, and other monsters you control cannot attack this turn.","Icon Normal Spell","","","","","",""
"Bonding - H2O","Unlimited","Card Text Tribute 2 ""Hydrogeddon"" and 1 ""Oxygeddon""; Special Summon 1 ""Water Dragon"" from your hand, Deck, or GY.","Icon Normal Spell","","","","","",""
"Chthonian Polymer","Unlimited","Card Text Activate only when your opponent Fusion Summons a Fusion Monster. Tribute 1 monster to take control of that Fusion Monster.","Icon Normal Trap","","","","","",""
"Chthonian Blast","Unlimited","Card Text When a face-up monster you control is destroyed and sent to the Graveyard: Destroy the 1 face-up monster on the field that has the lowest ATK (your choice, if tied), and if you do, inflict damage to both players equal to half of that monster's ATK.","Icon Normal Trap","","","","","",""
"Hero Barrier","Unlimited","Card Text Negate 1 attack from an opponent's monster. You must control a face-up ""Elemental HERO"" monster to resolve this effect.","Icon Normal Trap","","","","","",""
"Feather Wind","Unlimited","Card Text When a Spell/Trap Card is activated while you control a face-up ""Elemental HERO Avian"": Negate the activation and destroy it.","Icon Counter Trap","","","","","",""
"Zure, Knight of Dark World","Unlimited","Card Text The name of this illustrious knight is known by all residents of Dark World. He never oppresses the commoners.","","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1800","DEF 1500"
"B.E.S. Tetran","Unlimited","Card Text When this card is Normal Summoned, put 3 counters on it. This card cannot be destroyed by battle. If this card attacks or is attacked, remove 1 counter from this card at the end of the Damage Step. If you cannot, destroy it. Once per turn, you can remove 1 counter on this card to destroy 1 Spell or Trap Card on the field.","","Attribute WIND","Level 6","Monster Type Machine","Card Type Effect","ATK 1800","DEF 2300"
"Nanobreaker","Unlimited","Card Text If this card attacks a face-up Level 3 or lower monster, destroy the monster immediately with this card's effect without applying damage calculation.","","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1600","DEF 1800"
"Rapid-Fire Magician","Unlimited","Card Text Inflict 400 damage to your opponent each time you activate a Normal Spell Card.","","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1600","DEF 1200"
"Beiige, Vanguard of Dark World","Unlimited","Card Text If this card is discarded to the Graveyard by a card effect: Special Summon it from the Graveyard.","","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1600","DEF 1300"
"Broww, Huntsman of Dark World","Unlimited","Card Text If this card is discarded to the Graveyard by a card effect: Draw 1 card, plus another card if this card was discarded from your hand to your Graveyard by an opponent's card effect.","","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 1400","DEF 800"
"Brron, Mad King of Dark World","Unlimited","Card Text When this card inflicts Battle Damage to your opponent: You can discard 1 card.","","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1800","DEF 400"
"Sillva, Warlord of Dark World","Unlimited","Card Text If this card is discarded to the Graveyard by a card effect: Special Summon it from the Graveyard, then, if this card was discarded from your hand to your Graveyard by an opponent's card effect, your opponent returns exactly 2 cards from their hand to the bottom of their Deck, in any order.","","Attribute DARK","Level 5","Monster Type Fiend","Card Type Effect","ATK 2300","DEF 1400"
"Goldd, Wu-Lord of Dark World","Unlimited","Card Text If this card is discarded to the Graveyard by a card effect: If it was discarded from your hand to your Graveyard by an opponent's card effect, you can target up to 2 cards your opponent controls; Special Summon this card from the Graveyard, then destroy those targets (if any).","","Attribute DARK","Level 5","Monster Type Fiend","Card Type Effect","ATK 2300","DEF 1400"
"Scarr, Scout of Dark World","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard: Add 1 Level 4 or lower ""Dark World"" monster from your Deck to your hand.","","Attribute DARK","Level 2","Monster Type Fiend","Card Type Effect","ATK 500","DEF 500"
"Familiar-Possessed - Aussa","Unlimited","Card Text You can send 1 ""Aussa the Earth Charmer"" and 1 EARTH monster you control to the Graveyard to Special Summon this card from your hand or Deck. If you do, this card gets the following effect:●During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.","","Attribute EARTH","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1850","DEF 1500"
"Familiar-Possessed - Eria","Unlimited","Card Text You can send 1 ""Eria the Water Charmer"" and 1 WATER monster you control to the Graveyard to Special Summon this card from your hand or Deck. If you do, this card gets the following effect:●During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.","","Attribute WATER","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1850","DEF 1500"
"Familiar-Possessed - Hiita","Unlimited","Card Text You can send 1 ""Hiita the Fire Charmer"" and 1 FIRE monster you control to the Graveyard to Special Summon this card from your hand or Deck. If you do, this card gets the following effect:●During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.","","Attribute FIRE","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1850","DEF 1500"
"Familiar-Possessed - Wynn","Unlimited","Card Text You can send 1 ""Wynn the Wind Charmer"" and 1 WIND monster you control to the Graveyard to Special Summon this card from your hand or Deck. If you do, this card gets the following effect:●During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.","","Attribute WIND","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1850","DEF 1500"
"Pot of Avarice","Unlimited","Card Text Target 5 monsters in your GY; shuffle all 5 into the Deck, then draw 2 cards.","Icon Normal Spell","","","","","",""
"Dark World Lightning","Unlimited","Card Text Target 1 Set card on the field; destroy that target, then discard 1 card.","Icon Normal Spell","","","","","",""
"Branch!","Unlimited","Card Text When a Fusion Monster(s) on the field is destroyed by battle or card effect and sent to the Graveyard: You can target 1 of the Fusion Materials in your Graveyard that was used for its Fusion Summon; Special Summon it.","Icon Continuous Spell","","","","","",""
"Boss Rush","Unlimited","Card Text You cannot Normal Summon or Set. During the End Phase of the turn that a ""B.E.S."" monster or a ""Big Core"" is destroyed and sent to the Graveyard, you can Special Summon 1 ""B.E.S."" monster or 1 ""Big Core"" from your Deck.","Icon Continuous Spell","","","","","",""
"Gateway to Dark World","Unlimited","Card Text Target 1 ""Dark World"" monster in your Graveyard; Special Summon that target. You cannot Summon other monsters the turn you activate this card (but you can Set).","Icon Quick-Play Spell","","","","","",""
"The Forces of Darkness","Unlimited","Card Text Target 2 ""Dark World"" monsters in your Graveyard; add those targets to your hand.","Icon Normal Trap","","","","","",""
"Dark Deal","Unlimited","Card Text When your opponent activates a Normal Spell Card: Pay 1000 Life Points; the effect of that Normal Spell Card becomes ""Your opponent discards 1 random card"".","Icon Normal Trap","","","","","",""
"Simultaneous Loss","Unlimited","Card Text Each player sends the top card of their Deck to the Graveyard.","Icon Normal Trap","","","","","",""
"Weed Out","Unlimited","Card Text Pay 500 Life Points. Destroy all face-up Attack Position Level 3 monsters.","Icon Normal Trap","","","","","",""
"The League of Uniform Nomenclature","Unlimited","Card Text Select 1 face-up Level 2 or lower Normal Monster you control to activate this card. Special Summon as many cards as possible from your Deck with the same name as the selected monster.","Icon Normal Trap","","","","","",""
"Roll Out!","Unlimited","Card Text Target 1 Union monster in your Graveyard; equip that target to a monster you control that would be an appropriate target for that Union monster's effect.","Icon Normal Trap","","","","","",""
"Non-Fusion Area","Unlimited","Card Text Neither player can Fusion Summon.","Icon Continuous Trap","","","","","",""
"Level Limit - Area A","Unlimited","Card Text Change all face-up Level 3 or lower monsters to Attack Position.","Icon Continuous Trap","","","","","",""
"Armed Changer","Unlimited","Card Text Send 1 Equip Spell Card from your hand to the Graveyard to activate this card. If the equipped monster destroys a monster by battle, the controller of this Equip Card can add 1 monster with ATK equal to or less than the equipped monster from their Graveyard to their hand.","Icon Equip Spell","","","","","",""
"Tualatin","Unlimited","Card Text If it is your opponent's Battle Phase, and all monsters you controlled at the start of this Battle Phase (min. 2) have been destroyed by battle and sent to the Graveyard: You can Special Summon this card from your hand. If Summoned this way: Choose an Attribute and destroy all face-up monsters with that Attribute. Your opponent cannot Normal or Special Summon monsters with that Attribute.","","Attribute LIGHT","Level 8","Monster Type Fairy","Card Type Effect","ATK 2800","DEF 2500"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Elemental HERO Necroshade","Unlimited","Card Text Once, while this card is in the Graveyard, 1 Level 5 or higher ""Elemental HERO"" monster you Normal Summon can be Summoned without Tributing.","","Attribute DARK","Level 5","Monster Type Warrior","Card Type Effect","ATK 1600","DEF 1800"
"Hero Ring","Unlimited","Card Text Target 1 Warrior-Type monster with 1500 or less ATK; equip this card to that target. Monsters your opponent controls with 1900 or more ATK cannot attack that target.","Icon Normal Trap","","","","","",""
"Elemental HERO Mudballman","Unlimited","Card Text ""Elemental HERO Bubbleman"" + ""Elemental HERO Clayman""Must be Fusion Summoned and cannot be Special Summoned by other ways.","","Attribute EARTH","Level 6","Monster Type Warrior","Card Type Fusion / Effect","ATK 1900","DEF 3000"
"Dark Eradicator Warlock","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Dark Magician"", and cannot be Special Summoned by other ways. Each time a Normal Spell Card is activated, inflict 1000 damage to your opponent immediately after it resolves.","","Attribute DARK","Level 7","Monster Type Spellcaster","Card Type Effect","ATK 2500","DEF 2100"
"Mythical Beast Cerberus","Unlimited","Card Text Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Gains 500 ATK for each Spell Counter on it. At the end of the Battle Phase, if this card battled, remove all Spell Counters on it.","","Attribute LIGHT","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1400","DEF 1400"
"Magical Blast","Unlimited","Card Text Inflict 200 damage to your opponent for each Spellcaster monster you control. During your Draw Phase, if this card is in your GY, before you draw: You can give up your normal draw this turn, and if you do, add this card to your hand.","Icon Normal Spell","","","","","",""
"King of Destruction - Xexex","Unlimited","Card Text This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Fiend-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match.This card cannot be used in a Duel.","","Attribute DARK","Level 10","Monster Type Fiend","Card Type Effect","ATK 3000","DEF 2500"
"Queen of Fate - Eternia","Unlimited","Card Text This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Fairy-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match.This card cannot be used in a Duel.","","Attribute LIGHT","Level 8","Monster Type Fairy","Card Type Effect","ATK 2400","DEF 2000"
"Elemental HERO Steam Healer","Unlimited","Card Text ""Elemental HERO Burstinatrix"" + ""Elemental HERO Bubbleman""Must be Fusion Summoned and cannot be Special Summoned by other ways. When this card destroys a monster by battle and sends it to the Graveyard: Gain Life Points equal to the ATK of that destroyed monster in the Graveyard.","","Attribute WATER","Level 5","Monster Type Warrior","Card Type Fusion / Effect","ATK 1800","DEF 1000"
"Burst Return","Unlimited","Card Text If you control a face-up ""Elemental HERO Burstinatrix"": Return all face-up ""Elemental HERO"" monsters on the field to the hand, except ""Elemental HERO Burstinatrix"".","Icon Normal Spell","","","","","",""
"Bubble Blaster","Unlimited","Card Text You can only equip this card to ""Elemental Hero Bubbleman"". Increase the ATK of the equipped monster by 800 points. If the equipped monster would be destroyed as a result of battle, destroy this card instead, and make the Battle Damage to the controller of the equipped monster 0.","Icon Equip Spell","","","","","",""
"Bubble Illusion","Unlimited","Card Text You can only activate this card while there is a face-up ""Elemental Hero Bubbleman"" on your side of the field. During this turn, you can activate 1 Trap Card from your hand.","Icon Quick-Play Spell","","","","","",""
"Clay Charge","Unlimited","Card Text When an ""Elemental HERO Clayman"" you control is targeted for an attack (even if it is face-down, but reveal it to your opponent in that case): Destroy the attacking monster and that ""Elemental HERO Clayman"", and inflict 800 damage to your opponent.","Icon Normal Trap","","","","","",""
"Armed Dragon LV10","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Armed Dragon LV7"". You can send 1 card from your hand to the Graveyard to destroy all face-up monsters your opponent controls.","","Attribute WIND","Level 10","Monster Type Dragon","Card Type Effect","ATK 3000","DEF 2000"
"Magical Mallet","Unlimited","Card Text Shuffle any number of cards from your hand into the Deck, then draw that same number of cards.","Icon Normal Spell","","","","","",""
"Inferno Reckless Summon","Unlimited","Card Text When exactly 1 monster with 1500 or less ATK is Special Summoned to your field while your opponent controls a face-up monster: Special Summon as many monsters as possible with the same name as the Summoned monster, from your hand, Deck, and Graveyard, in Attack Position, also your opponent Special Summons as many monsters as possible with the same name as 1 of their face-up monsters, from their hand, Deck, and Graveyard.","Icon Quick-Play Spell","","","","","",""
"Ring of Defense","Unlimited","Card Text When a Trap effect that inflicts damage is activated: Make that effect damage 0.","Icon Quick-Play Spell","","","","","",""
"The Grave of Enkindling","Unlimited","Card Text You can only activate this card when a monster on your side of the field is destroyed as a result of battle and sent to the Graveyard. You and your opponent each select 1 monster from your respective Graveyards and Special Summon them in Defense Position. Neither monster Special Summoned by this card's effect can change its battle position while it is face-up on the field, except with a card effect.","Icon Normal Trap","","","","","",""
"Lancer Dragonute","Unlimited","Card Text If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.","","Attribute DARK","Level 4","Monster Type Dragon","Card Type Effect","ATK 1500","DEF 1800"
"Mist Body","Unlimited","Card Text The equipped monster cannot be destroyed by battle.","Icon Equip Spell","","","","","",""
"Axe Dragonute","Unlimited","Card Text If this card attacks, it is changed to Defense Position at the end of the Damage Step.","","Attribute DARK","Level 4","Monster Type Dragon","Card Type Effect","ATK 2000","DEF 1200"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"White-Horned Dragon","Unlimited","Card Text When this card is Normal or Special Summoned: Target up to 5 Spell Cards in your opponent's Graveyard; banish those target(s), and if you do, this card gains 300 ATK for each card banished by this effect.","","Attribute DARK","Level 6","Monster Type Dragon","Card Type Effect","ATK 2200","DEF 1400"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Dark Red Enchanter","Unlimited","Card Text If this card is Normal Summoned: Place 2 Spell Counters on it. Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Gains 300 ATK for each Spell Counter on it. Once per turn: You can remove 2 Spell Counters from this card; discard 1 random card from your opponent's hand.","","Attribute DARK","Level 6","Monster Type Spellcaster","Card Type Effect","ATK 1700","DEF 2200"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Gorz the Emissary of Darkness","Unlimited","Card Text When you take damage from a card in your opponent's possession: You can Special Summon this card from your hand. You must control no cards to activate and to resolve this effect. If Summoned this way, activate the appropriate effect, based on the type of damage:●Battle damage: Special Summon 1 ""Emissary of Darkness Token"" (Fairy-Type/LIGHT/Level 7/ATK ?/DEF ?). Its ATK and DEF are each equal to the amount of battle damage you took.●Effect damage: Inflict damage to your opponent equal to the amount of damage you took.","","Attribute DARK","Level 7","Monster Type Fiend","Card Type Effect","ATK 2700","DEF 2500"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Uria, Lord of Searing Flames","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 3 face-up Trap Cards you control to the Graveyard, and cannot be Special Summoned by other ways. This card gains 1000 ATK for each Continuous Trap Card in your Graveyard. Once per turn: You can target 1 Set Spell/Trap Card your opponent controls; destroy that target. Neither player can activate Spell/Trap Cards in response to this effect's activation.","","Attribute FIRE","Level 10","Monster Type Pyro","Card Type Effect","ATK 0","DEF 0"
"Hamon, Lord of Striking Thunder","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 3 face-up Continuous Spell Cards you control to the Graveyard, and cannot be Special Summoned by other ways. If this card destroys an opponent's monster by battle and sends it to the Graveyard: Inflict 1000 damage to your opponent. While this card is in face-up Defense Position, monsters your opponent controls cannot target monsters for attacks, except this one.","","Attribute LIGHT","Level 10","Monster Type Thunder","Card Type Effect","ATK 4000","DEF 4000"
"Raviel, Lord of Phantasms","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 3 Fiend-Type monsters, and cannot be Special Summoned by other ways. If your opponent Normal Summons a monster(s): Special Summon 1 ""Phantasm Token"" (Fiend-Type/DARK/Level 1/ATK 1000/DEF 1000) for each monster Summoned, but it cannot declare an attack. Once per turn: You can Tribute 1 monster; this card gains ATK equal to the original ATK of the Tributed monster until the end of this turn.","","Attribute DARK","Level 10","Monster Type Fiend","Card Type Effect","ATK 4000","DEF 4000"
"Elemental HERO Neo Bubbleman","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending an ""Elemental Hero Bubbleman"" you control and ""Metamorphosis"" in your hand to the Graveyard. This card's name is treated as ""Elemental Hero Bubbleman"" while it is face-up on the field. Destroy an opponent's monster that battles this card at the end of the Damage Step.","","Attribute WATER","Level 4","Monster Type Warrior","Card Type Effect","ATK 800","DEF 1200"
"Hero Kid","Unlimited","Card Text When this card is Special Summoned: You can Special Summon any number of ""Hero Kid""(s) from your Deck.","","Attribute EARTH","Level 2","Monster Type Warrior","Card Type Effect","ATK 300","DEF 600"
"Cyber Barrier Dragon","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Attack Reflector Unit"". Once per turn, while this card is in Attack Position, your opponent's next attack is negated.","","Attribute LIGHT","Level 6","Monster Type Machine","Card Type Effect","ATK 800","DEF 2800"
"Cyber Laser Dragon","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Photon Generator Unit"". Once per turn, you can destroy 1 monster with ATK or DEF equal to or higher than the ATK of this card.","","Attribute LIGHT","Level 7","Monster Type Machine","Card Type Effect","ATK 2400","DEF 1800"
"Ancient Gear","Unlimited","Card Text If you control an ""Ancient Gear"", you can Special Summon this card (from your hand) in face-up Attack Position.","","Attribute EARTH","Level 2","Monster Type Machine","Card Type Effect","ATK 100","DEF 800"
"Hero Heart","Unlimited","Card Text Target 1 face-up ""Elemental HERO"" monster you control; halve its ATK until the end of this turn, but it can attack twice during this turn's Battle Phase.","Icon Normal Spell","","","","","",""
"Magnet Circle LV2","Unlimited","Card Text Special Summon 1 Level 2 or lower Machine-Type monster from your hand.","Icon Normal Spell","","","","","",""
"Ancient Gear Factory","Unlimited","Card Text Reveal 1 Level 5 or higher ""Ancient Gear"" monster from your hand, then banish a number of ""Ancient Gear"" monsters from your Graveyard, whose combined Levels are double the revealed monster's, and if you do, if you Normal Summon the revealed monster this turn, you must Normal Smmon it without Tributing.","Icon Normal Spell","","","","","",""
"Ancient Gear Drill","Unlimited","Card Text If you control an ""Ancient Gear"" monster: Discard 1 card; Set 1 Spell Card directly from your Deck. This turn, that Spell Card cannot be activated.","Icon Normal Spell","","","","","",""
"Phantasmal Martyrs","Unlimited","Card Text Activate only while you have 2 or more cards in your hand, and control a face-up ""Uria, Lord of Searing Flames"" or ""Hamon, Lord of Striking Thunder"". Send your entire hand to the Graveyard to Special Summon 3 ""Phantasmal Martyr Tokens"" (Fiend-Type/DARK/Level 1/ATK 0/DEF 0) in Attack Position.","Icon Normal Spell","","","","","",""
"Cyclone Boomerang","Unlimited","Card Text Equip only to ""Elemental HERO Wildheart"". It gains 500 ATK. When the equipped monster is destroyed by a card effect and sent to the Graveyard: Destroy all Spell and Trap Cards on the field, then inflict 100 damage to your opponent for each Spell/Trap Card destroyed by this effect.","Icon Equip Spell","","","","","",""
