"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon"
"Book of Life","Unlimited","Card Text Target 1 Zombie monster in your GY and 1 monster in your opponent's GY; Special Summon the first target, also banish the second target.","","","","","","","Icon Normal Spell"
"Book of Taiyou","Unlimited","Card Text Flip 1 face-down monster on the field into face-up Attack Position.","","","","","","","Icon Normal Spell"
"Book of Moon","Unlimited","Card Text Target 1 face-up monster on the field; change that target to face-down Defense Position.","","","","","","","Icon Quick-Play Spell"
"Mirage of Nightmare","Forbidden","Card Text Once per turn, during your opponent's Standby Phase: Draw cards until you have 4 cards in your hand. If you do, during your next Standby Phase after that: Randomly discard the same number of cards you drew (or your entire hand, if you do not have enough cards). Forbidden","","","","","","","Icon Continuous Spell"
"Secret Pass to the Treasures","Unlimited","Card Text Select 1 face-up monster with an ATK equal to 1000 points or less on your side of the field. During the turn this card is activated, the selected monster can attack your opponent's Life Points directly.","","","","","","","Icon Normal Spell"
"Call of the Mummy","Unlimited","Card Text Once per turn: You can Special Summon 1 Zombie monster from your hand. You must control no monsters to activate and to resolve this effect.","","","","","","","Icon Continuous Spell"
"Timidity","Unlimited","Card Text Neither player can destroy Set Spell and Trap Cards on the field until your opponent's next End Phase.","","","","","","","Icon Normal Spell"
"Pyramid Energy","Unlimited","Card Text You can select and activate 1 of the following effects:●Increase the ATK of all face-up monsters on your side of the field by 200 points until the End Phase of the turn this card is activated.●Increase the DEF of all face-up monsters on your side of the field by 500 points until the End Phase of the turn this card is activated.","","","","","","","Icon Quick-Play Spell"
"Tutan Mask","Unlimited","Card Text When a Spell/Trap Card is activated that targets exactly 1 Zombie monster on the field (and no other cards): Negate the activation, and if you do, destroy it.","","","","","","","Icon Counter Trap"
"Ordeal of a Traveler","Unlimited","Card Text When an opponent's monster declares an attack: Your opponent chooses 1 random card in your hand and calls the type of the card (Monster, Spell, or Trap), and if they call it wrong, return the attacking monster to the hand.","","","","","","","Icon Continuous Trap"
"Bottomless Shifting Sand","Unlimited","Card Text At the end of your opponent's turn, destroy the face-up monster(s) with the highest ATK on the field. During your own Standby Phase, if you have 4 or less cards in your hand, this card is destroyed.","","","","","","","Icon Continuous Trap"
"Curse of Royal","Unlimited","Card Text Negate the activation and the effect of a Spell or Trap Card that includes the effect of destroying 1 Spell or Trap Card and destroy it.","","","","","","","Icon Counter Trap"
"Needle Ceiling","Unlimited","Card Text When there are 4 or more monsters on the field: Destroy all face-up monsters.","","","","","","","Icon Normal Trap"
"Statue of the Wicked","Unlimited","Card Text When this face-down card is destroyed and sent to the Graveyard, Special Summon 1 ""Wicked Token"" (Fiend-Type/DARK/Level 4/ATK 1000/DEF 1000) on your side of the field.","","","","","","","Icon Normal Trap"
"Dark Coffin","Unlimited","Card Text When this face-down card is destroyed and sent to the Graveyard, your opponent selects and executes 1 of the following effects:●Discard 1 random card in their hand.●Select 1 monster on their side of the field and destroy it.","","","","","","","Icon Normal Trap"
"Needle Wall","Unlimited","Card Text Once per turn, during your Standby Phase: Roll a six-sided die. Treat your opponent's Main Monster Zones as numbers 1-5, counting from your right, and destroy the monster that is in the same Main Monster Zone as the result. If the result is 6, roll again.","","","","","","","Icon Continuous Trap"
"Trap Dustshoot","Forbidden","Card Text Activate only if your opponent has 4 or more cards in their hand. Look at your opponent's hand, select 1 Monster Card in it, and return that card to its owner's Deck. Forbidden","","","","","","","Icon Normal Trap"
"Pyro Clock of Destiny","Unlimited","Card Text Move the turn count forward by 1 turn. The turn in which this card is activated continues as normal.","","","","","","","Icon Normal Trap"
"Reckless Greed","Unlimited","Card Text Draw 2 cards and skip your next 2 Draw Phases.","","","","","","","Icon Normal Trap"
"Pharaoh's Treasure","Unlimited","Card Text Shuffle this card face-up into your Deck. If you draw this face-up card that was added to the Deck by this effect: Send it to the GY, then target 1 card in your GY, except this card; add that target to your hand.","","","","","","","Icon Normal Trap"
"Toon Dark Magician Girl","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 monster, while you control ""Toon World"". If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks. Gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in either player's GY.","Attribute DARK","Level 6","Monster Type Spellcaster","Card Type Toon / Effect","ATK 2000","DEF 1700",""
"Gilford the Lightning","Unlimited","Card Text You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If Summoned this way: Destroy all monsters your opponent controls.","Attribute LIGHT","Level 8","Monster Type Warrior","Card Type Effect","ATK 2800","DEF 1400",""
"Exarion Universe","Unlimited","Card Text During your Battle Step, if this card attacks a Defense Position monster: You can make this card lose exactly 400 ATK, and if it does, it will inflict piercing battle damage. These effects last until the end of this turn.","Attribute DARK","Level 4","Monster Type Beast-Warrior","Card Type Effect","ATK 1800","DEF 1900",""
"Legendary Fiend","Unlimited","Card Text Once per turn, during your Standby Phase: This card gains 700 ATK.","Attribute DARK","Level 6","Monster Type Fiend","Card Type Effect","ATK 1500","DEF 1800",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Toon Defense","Unlimited","Card Text When an opponent's monster declares an attack targeting a face-up Level 4 or lower Toon monster you control: You can make the attack a direct attack instead.","","","","","","","Icon Continuous Trap"
"Toon Table of Contents","Unlimited","Card Text Add 1 ""Toon"" card from your Deck to your hand.","","","","","","","Icon Normal Spell"
"Toon Masked Sorcerer","Unlimited","Card Text Cannot attack the turn it is Summoned. If ""Toon World"" on the field is destroyed, destroy this card. While you control ""Toon World"" and your opponent controls no Toon monsters, this card can attack your opponent directly. If this card inflicts battle damage to your opponent: Draw 1 card.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Toon / Effect","ATK 900","DEF 1400",""
"Toon Gemini Elf","Unlimited","Card Text Cannot attack the turn it is Summoned. If ""Toon World"" on the field is destroyed, destroy this card. While you control ""Toon World"" and your opponent controls no Toon monsters, this card can attack your opponent directly. If this card inflicts battle damage to your opponent: Discard 1 random card from your opponent's hand.","Attribute EARTH","Level 4","Monster Type Spellcaster","Card Type Toon / Effect","ATK 1900","DEF 900",""
"Toon Cannon Soldier","Unlimited","Card Text This card cannot attack the turn it is Summoned. If ""Toon World"" on the field is destroyed, destroy this card. While you control ""Toon World"" and your opponent controls no Toon Monsters, this card can attack your opponent directly. You can Tribute 1 monster; inflict 500 damage to your opponent.","Attribute DARK","Level 4","Monster Type Machine","Card Type Toon / Effect","ATK 1400","DEF 1300",""
"Toon Goblin Attack Force","Unlimited","Card Text This card cannot attack the turn it is Summoned. If ""Toon World"" on the field is destroyed, destroy this card. While you control ""Toon World"" and your opponent controls no Toon Monsters, this card can attack your opponent directly. If this card attacks, it is changed to Defense Position at the end of the Battle Phase, and its battle position cannot be changed until the End Phase of your next turn.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Toon / Effect","ATK 2300","DEF 0",""
"Card of Sanctity","Unlimited","Card Text Banish all other cards you control and in your hand (min.1 from each); draw until you have 2 cards in your hand.","","","","","","","Icon Normal Spell"
"Dark Designator","Unlimited","Card Text Declare 1 Monster Card name. If the declared card is in your opponent's Deck, add 1 of that card to your opponent's hand.","","","","","","","Icon Normal Spell"
"Multiple Destruction","Unlimited","Card Text If both players have 3 or more cards in their hand: Each player places their entire hand on the bottom of the Deck in any order, also you lose LP equal to the total number of cards returned to the Deck by this effect x 300 (min. 1), then each player draws 5 cards. You can only activate 1 ""Multiple Destruction"" per turn.","","","","","","","Icon Normal Trap"
"Puppet Master","Unlimited","Card Text When this card is Tribute Summoned: You can pay 2000 LP, then target 2 Fiend monsters in your GY; Special Summon those targets, but they cannot attack this turn.","Attribute DARK","Level 6","Monster Type Fiend","Card Type Effect","ATK 0","DEF 0",""
"Gernia","Unlimited","Card Text During your next Standby Phase, after this face-up card you control was destroyed and sent to your Graveyard by an opponent's card effect: Special Summon it.","Attribute DARK","Level 4","Monster Type Zombie","Card Type Effect","ATK 1300","DEF 1200",""
"Newdoria","Unlimited","Card Text If this card is destroyed by battle and sent to the GY: Target 1 monster on the field; destroy that target.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1200","DEF 800",""
"Lord Poison","Unlimited","Card Text If this card is destroyed by battle and sent to the Graveyard: Target 1 Plant-Type monster in your Graveyard, except ""Lord Poison""; Special Summon that target.","Attribute WATER","Level 4","Monster Type Plant","Card Type Effect","ATK 1500","DEF 1000",""
"Spell of Pain","Unlimited","Card Text When your opponent activates a card or effect that would inflict effect damage to you: Your opponent takes the effect damage from that card or effect, instead.","","","","","","","Icon Quick-Play Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Blade Knight","Unlimited","Card Text Gains 400 ATK while you have 1 or less cards in your hand. If you control no other monsters, the effects of Flip monsters destroyed by battle with this card are negated.","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Effect","ATK 1600","DEF 1000",""
"Helpoemer","Unlimited","Card Text Cannot be Special Summoned from the GY. At the end of your opponent's Battle Phase, if this card is in the GY because it was destroyed by battle: Make your opponent discard 1 random card. This card must be in the GY to activate and to resolve this effect.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Effect","ATK 2000","DEF 1400",""
"Hidden Soldiers","Unlimited","Card Text When your opponent Normal or Flip Summons a monster: Special Summon 1 Level 4 or lower DARK monster from your hand.","","","","","","","Icon Normal Trap"
"Gil Garth","Unlimited","Card Text This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1800","DEF 1200",""
"Coffin Seller","Unlimited","Card Text Each time a monster(s) is sent to your opponent's GY: Inflict 300 damage to your opponent.","","","","","","","Icon Continuous Trap"
"Malevolent Catastrophe","Unlimited","Card Text When an opponent's monster declares an attack: Destroy all Spell and Trap Cards on the field.","","","","","","","Icon Normal Trap"
"Question","Unlimited","Card Text When activating this card, your opponent cannot check cards in the Graveyard. Your opponent calls the name of the first monster found at the bottom of your Graveyard. If he/she calls it right, the monster is removed from play. If he/she calls it wrong, the monster is Special Summoned to your side of the field.","","","","","","","Icon Normal Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Lava Golem","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.","Attribute FIRE","Level 8","Monster Type Fiend","Card Type Effect","ATK 3000","DEF 2500",""
"Relieve Monster","Unlimited","Card Text When an opponent's monster declares an attack: Target 1 monster you control; return that target to the hand, then Special Summon 1 Level 4 monster from your hand.","","","","","","","Icon Normal Trap"
"Machine Duplication","Unlimited","Card Text Target 1 Machine monster you control with 500 or less ATK; Special Summon up to 2 monsters from your Deck with the same name as that face-up monster.","","","","","","","Icon Normal Spell"
"Dark Jeroid","Unlimited","Card Text If this card is Summoned: Target 1 face-up monster on the field; it loses 800 ATK.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1200","DEF 1500",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Dragon Master Knight","Unlimited","Card Text ""Black Luster Soldier"" + ""Blue-Eyes Ultimate Dragon""Must be Fusion Summoned. This card gains 500 ATK for each Dragon monster you control, except this card.","Attribute LIGHT","Level 12","Monster Type Dragon","Card Type Fusion / Effect","ATK 5000","DEF 5000",""
"Five-Headed Dragon","Unlimited","Card Text 5 Dragon monstersMust be Fusion Summoned. Cannot be destroyed by battle with a DARK, EARTH, WATER, FIRE, or WIND monster.","Attribute DARK","Level 12","Monster Type Dragon","Card Type Fusion / Effect","ATK 5000","DEF 5000",""
"Queen's Knight","Unlimited","Card Text This knight catches her opponents off guard, dominating them with swift yet graceful attacks.","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Normal","ATK 1500","DEF 1600",""
"X-Head Cannon","Unlimited","Card Text A monster with a mighty cannon barrel, it is able to integrate its attacks. It attacks in many ways by combining and separating with other monsters.","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Normal","ATK 1800","DEF 1500",""
"Enemy Controller","Unlimited","Card Text Activate 1 of these effects.●Target 1 face-up monster your opponent controls; change that target's battle position.●Tribute 1 monster, then target 1 face-up monster your opponent controls; take control of that target until the End Phase.","","","","","","","Icon Quick-Play Spell"
"Master Kyonshee","Unlimited","Card Text A wandering Kyonshee searching for a strong rival to defeat. They say he was known as the master of all martial arts.","Attribute EARTH","Level 4","Monster Type Zombie","Card Type Normal","ATK 1750","DEF 1000",""
"Kabazauls","Unlimited","Card Text A huge monster in the shape of a hippopotamus. The sneezing from his gigantic body is so fierce that people mistake it for a hurricane.","Attribute WATER","Level 4","Monster Type Dinosaur","Card Type Normal","ATK 1700","DEF 1500",""
"Inpachi","Unlimited","Card Text A log that attacks lost travelers in the forest. Originally a big tree, it was cut down and possessed by a wicked spirit.","Attribute EARTH","Level 4","Monster Type Machine","Card Type Normal","ATK 1600","DEF 1900",""
"Gravekeeper's Spy","Unlimited","Card Text FLIP: Special Summon 1 ""Gravekeeper's"" monster with 1500 or less ATK from your Deck.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1200","DEF 2000",""
"Gravekeeper's Curse","Unlimited","Card Text If this card is Summoned: Inflict 500 damage to your opponent.","Attribute DARK","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 800","DEF 800",""
"Gravekeeper's Guard","Unlimited","Card Text FLIP: Target 1 monster your opponent controls; return that target to the hand.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1000","DEF 1900",""
"Gravekeeper's Spear Soldier","Unlimited","Card Text If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1500","DEF 1000",""
"Gravekeeper's Vassal","Unlimited","Card Text Any battle damage this card inflicts to your opponent is treated as effect damage instead.","Attribute DARK","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 700","DEF 500",""
"Gravekeeper's Watcher","Unlimited","Card Text During either player's turn, when your opponent activates a Spell/Trap Card or monster effect that could make them discard when it resolves: You can send this card from your hand to the Graveyard; negate the activation, and if you do, destroy it.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1000","DEF 1000",""
"Gravekeeper's Chief","Unlimited","Card Text You can only control 1 face-up ""Gravekeeper's Chief"". Your GY is unaffected by ""Necrovalley"". When this card is Tribute Summoned: You can target 1 ""Gravekeeper's"" monster in your GY; Special Summon that target.","Attribute DARK","Level 5","Monster Type Spellcaster","Card Type Effect","ATK 1900","DEF 1200",""
"Gravekeeper's Cannonholder","Unlimited","Card Text You can Tribute 1 ""Gravekeeper's"" monster, except ""Gravekeeper's Cannonholder""; inflict 700 damage to your opponent.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1400","DEF 1200",""
"Gravekeeper's Assailant","Unlimited","Card Text When this card declares an attack while ""Necrovalley"" is on the field: You can target 1 face-up monster your opponent controls; change that target's battle position.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1500","DEF 1500",""
"A Man with Wdjat","Unlimited","Card Text When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1600","DEF 1600",""
"Mystical Knight of Jackal","Unlimited","Card Text When this card destroys 1 monster on your opponent's side of the field and sends it to your opponent's Graveyard as a result of battle, you can then return the card to the top of your opponent's Deck.","Attribute LIGHT","Level 7","Monster Type Beast-Warrior","Card Type Effect","ATK 2700","DEF 1200",""
"A Cat of Ill Omen","Unlimited","Card Text FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.","Attribute DARK","Level 2","Monster Type Beast","Card Type Flip / Effect","ATK 500","DEF 300",""
"Yomi Ship","Unlimited","Card Text If this card is destroyed by battle and sent to the GY: Destroy the monster that destroyed this card.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Effect","ATK 800","DEF 1400",""
"Winged Sage Falcos","Unlimited","Card Text When this card destroys an opponent's face-up Attack Position monster by battle and sends it to their Graveyard: You can place that monster on top of their Deck.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Effect","ATK 1700","DEF 1200",""
"An Owl of Luck","Unlimited","Card Text FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected Field Spell Card to your hand instead.","Attribute WIND","Level 2","Monster Type Winged Beast","Card Type Effect","ATK 300","DEF 500",""
"Charm of Shabti","Unlimited","Card Text During either player's turn: You can discard this card; until the End Phase, ""Gravekeeper's"" monsters you control cannot be destroyed by battle.","Attribute EARTH","Level 1","Monster Type Rock","Card Type Effect","ATK 100","DEF 100",""
"Cobra Jar","Unlimited","Card Text FLIP: Special Summon 1 ""Poisonous Snake Token"" (Reptile-Type/EARTH/Level 3/ATK 1200/DEF 1200). When the ""Poisonous Snake Token"" is destroyed as a result of battle, inflict 500 points of damage to your opponent's Life Points.","Attribute EARTH","Level 2","Monster Type Reptile","Card Type Effect","ATK 600","DEF 300",""
"Spirit Reaper","Unlimited","Card Text Cannot be destroyed by battle. After resolving a card effect that targets this face-up card, destroy this card. When this card inflicts Battle Damage to your opponent by a direct attack: Discard 1 random card from their hand.","Attribute DARK","Level 3","Monster Type Zombie","Card Type Effect","ATK 300","DEF 200",""
"Nightmare Horse","Unlimited","Card Text This card can attack your opponent's Life Points directly even if there is a monster on your opponent's side of the field.","Attribute DARK","Level 2","Monster Type Zombie","Card Type Effect","ATK 500","DEF 400",""
"Reaper on the Nightmare","Unlimited","Card Text ""Spirit Reaper"" + ""Nightmare Horse""This card is not destroyed as a result of battle. Destroy this card when it is targeted by the effect of a Spell, Trap, or Effect Monster. This card can attack your opponent's Life Points directly even if there is a monster on your opponent's side of the field. If this card successfully attacks your opponent's Life Points directly, your opponent discards 1 card randomly from his/her hand.","Attribute DARK","Level 5","Monster Type Zombie","Card Type Fusion / Effect","ATK 800","DEF 600",""
"Card Shuffle","Unlimited","Card Text Pay 300 Life Points to use this card's effect. Shuffle either your or your opponent's Deck. You can only use this effect during your turn, once per turn.","","","","","","","Icon Continuous Spell"
"Reasoning","Limited","Card Text Your opponent declares a monster Level from 1 to 12. Excavate cards from the top of your Deck until you excavate a monster that can be Normal Summoned/Set, then, if that monster is the same Level as the one declared by your opponent, send all excavated cards to the GY. If not, Special Summon the excavated monster, also send the remaining cards to the GY. Limited","","","","","","","Icon Normal Spell"
"Dark Room of Nightmare","Unlimited","Card Text Each time your opponent takes damage from a card effect, except ""Dark Room of Nightmare"", inflict 300 damage to your opponent.","","","","","","","Icon Continuous Spell"
"Different Dimension Capsule","Unlimited","Card Text Select 1 card from your Deck and remove it from play face-down. During your 2nd Standby Phase after activation, destroy this card and add the removed card to your hand.","","","","","","","Icon Normal Spell"
"Necrovalley","Unlimited","Card Text All ""Gravekeeper's"" monsters gain 500 ATK and DEF. Cards in the Graveyard cannot be banished. Negate any card effect that would move a card in the Graveyard to a different place. Negate any card effect that changes Types or Attributes in the Graveyard.","","","","","","","Icon Field Spell"
"Buster Rancher","Unlimited","Card Text Only a monster with an ATK of 1000 points or less can be equipped with this card. During damage calculation, increase the ATK of the monster equipped with this card by 2500 points if the opponent's monster that battles it is in Attack Position and its ATK is 2500 or more, OR if the opponent's monster that battles it is in Defense Position and its DEF is 2500 or more.","","","","","","","Icon Equip Spell"
"Hieroglyph Lithograph","Unlimited","Card Text Pay 1000 Life Points. During the current Duel, your hand size limit becomes 7.","","","","","","","Icon Normal Spell"
"Dark Snake Syndrome","Unlimited","Card Text During each of your Standby Phases: Inflict damage to both players. This damage begins at 200 and is doubled during each of your following Standby Phases.","","","","","","","Icon Continuous Spell"
"Terraforming","Limited","Card Text Add 1 Field Spell from your Deck to your hand. Limited","","","","","","","Icon Normal Spell"
"Banner of Courage","Unlimited","Card Text All monsters you control gain 200 ATK during your Battle Phase only.","","","","","","","Icon Continuous Spell"
"Metamorphosis","Forbidden","Card Text Tribute 1 monster. Special Summon 1 Fusion Monster from your Extra Deck with the same Level as the Tributed monster. Forbidden","","","","","","","Icon Normal Spell"
"Royal Tribute","Unlimited","Card Text If you control ""Necrovalley"": Both players discard any monsters in their hands.","","","","","","","Icon Normal Spell"
"Reversal Quiz","Unlimited","Card Text Send all cards in your hand and on your side of the field to the Graveyard. Call the type of card (Spell, Trap, or Monster) on top of your Deck. If you call it right, exchange your current Life Points with your opponent's current ones.","","","","","","","Icon Normal Spell"
"Curse of Aging","Unlimited","Card Text Discard 1 card from your hand. Decrease the ATK and DEF of all monsters on your opponent's side of the field by 500 points until the end of the turn this card is activated.","","","","","","","Icon Normal Trap"
"Barrel Behind the Door","Unlimited","Card Text Activate only when a card's effect that would inflict damage to you is activated. Your opponent takes the damage instead.","","","","","","","Icon Counter Trap"
"Raigeki Break","Unlimited","Card Text Discard 1 card, then target 1 card on the field; destroy it.","","","","","","","Icon Normal Trap"
"Narrow Pass","Unlimited","Card Text This card can only be activated when both players have 2 monsters or less on their respective sides of the field. Both players can only Normal Summon up to 2 additional monsters on their sides of the field.","","","","","","","Icon Continuous Trap"
"Disturbance Strategy","Unlimited","Card Text Your opponent shuffles their entire hand into the Deck, then draws the same number of cards.","","","","","","","Icon Normal Trap"
"Trap of Board Eraser","Unlimited","Card Text When an effect that inflicts damage to your Life Points is activated (except Battle Damage), negate the damage to your Life Points. Your opponent then selects 1 card from his/her hand and discards it to his/her Graveyard.","","","","","","","Icon Counter Trap"
"Rite of Spirit","Unlimited","Card Text Target 1 ""Gravekeeper's"" monster in your GY; Special Summon that target. This card's activation and effect are unaffected by ""Necrovalley"".","","","","","","","Icon Normal Trap"
"Non Aggression Area","Unlimited","Card Text You can only activate this card during your Standby Phase. Discard 1 card from your hand. Your opponent cannot Normal Summon, Set and/or Special Summon during his/her next turn.","","","","","","","Icon Normal Trap"
"D. Tribe","Unlimited","Card Text All monsters on your side of the field are treated as Dragon-Types until the End Phase of this turn.","","","","","","","Icon Normal Trap"
"Lullaby of Obedience","Unlimited","Card Text Pay 2000 LP and declare 1 Monster Card name; your opponent looks at their Deck, reveals 1 of the declared monsters if there is any, and chooses 1 of these effects to be applied.●The declared monster is added to the hand of the player who activated this card.●The player who activated this card Special Summons the declared monster to their field in Attack Position, ignoring its Summoning conditions.","","","","","","","Icon Normal Spell"
"Y-Dragon Head","Unlimited","Card Text Once per turn, you can either: Target 1 ""X-Head Cannon"" you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card gains 400 ATK/DEF, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Union / Effect","ATK 1500","DEF 1600",""
"XY-Dragon Cannon","Unlimited","Card Text ""X-Head Cannon"" + ""Y-Dragon Head""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use ""Polymerization"".) Cannot be Special Summoned from the Graveyard. You can discard 1 card, then target 1 face-up Spell/Trap Card your opponent controls; destroy that target.","Attribute LIGHT","Level 6","Monster Type Machine","Card Type Fusion / Effect","ATK 2200","DEF 1900",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Z-Metal Tank","Unlimited","Card Text Once per turn, you can either: Target 1 ""X-Head Cannon"" or ""Y-Dragon Head"" you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card gains 600 ATK/DEF, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Union / Effect","ATK 1500","DEF 1300",""
"XYZ-Dragon Cannon","Unlimited","Card Text ""X-Head Cannon"" + ""Y-Dragon Head"" + ""Z-Metal Tank""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use ""Polymerization"".) Cannot be Special Summoned from the GY. You can discard 1 card, then target 1 card your opponent controls; destroy that target.","Attribute LIGHT","Level 8","Monster Type Machine","Card Type Fusion / Effect","ATK 2800","DEF 2600",""
"Soul Rope","Unlimited","Card Text When a monster you control is destroyed by a card effect and sent to the Graveyard (except during the Damage Step): Pay 1000 LP; Special Summon 1 Level 4 monster from your Deck.","","","","","","","Icon Normal Trap"
"King's Knight","Unlimited","Card Text When this card is Normal Summoned while you control ""Queen's Knight"": You can Special Summon 1 ""Jack's Knight"" from your Deck.","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Effect","ATK 1600","DEF 1400",""
"Jack's Knight","Unlimited","Card Text A strong master swordsman. His loyalty is to justice, his duty to protect the weak.","Attribute LIGHT","Level 5","Monster Type Warrior","Card Type Normal","ATK 1900","DEF 1000",""
"Interdimensional Matter Transporter","Unlimited","Card Text Target 1 face-up monster you control; banish that target until the End Phase.","","","","","","","Icon Normal Trap"
"Goblin Zombie","Unlimited","Card Text If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY. If this card is sent from the field to the GY: Add 1 Zombie monster with 1200 or less DEF from your Deck to your hand.","Attribute DARK","Level 4","Monster Type Zombie","Card Type Effect","ATK 1100","DEF 1050",""
"Drillago","Unlimited","Card Text If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can attack your opponent directly.","Attribute DARK","Level 4","Monster Type Machine","Card Type Effect","ATK 1600","DEF 1100",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Lekunga","Unlimited","Card Text You can banish 2 WATER monsters from your Graveyard; Special Summon 1 ""Lekunga Token"" (Plant-Type/WATER/Level 2/ATK 700/DEF 700) in Attack Position.","Attribute WATER","Level 4","Monster Type Plant","Card Type Effect","ATK 1700","DEF 500",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Cloning","Unlimited","Card Text When your opponent Normal or Flip Summons a monster that has a Level: Target that face-up monster; Special Summon 1 ""Clone Token"", with the same original Type, Attribute, Level, ATK, and DEF as that target. When that target is destroyed and sent to the GY, destroy this Token.","","","","","","","Icon Normal Trap"
"Cost Down","Unlimited","Card Text Discard 1 card; for the rest of this turn, reduce the Levels of all monsters in your hand by 2 (even after they are Summoned).","","","","","","","Icon Normal Spell"
