Card Number,Card Name,Status,Card Text,Card Type,Attribute,Level,Monster Type,ATK,DEF,Rank,Pendulum Effect,Pendulum Scale,Link
11583,Pot of Riches,Unlimited,"Card Text Shuffle 3 Pendulum Monsters into the Deck, from your GY and/or face-up from your Extra Deck, then draw 2 cards. You can only activate 1 ""Pot of Riches"" per turn. You cannot Special Summon the turn you activate this card, except by Pendulum Summon.",Icon Normal Spell,,,,,,,,,
11584,A Wild Monster Appears!,Unlimited,"Card Text If your opponent controls a monster and you control no monsters: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",Icon Normal Spell,,,,,,,,,
11585,Pendulum Shift,Unlimited,"Card Text Target 1 card in either player's Pendulum Zone and declare a Pendulum Scale from 1 to 10; this turn, that card becomes that Pendulum Scale.",Icon Quick-Play Spell,,,,,,,,,
11586,Extra Net,Unlimited,Card Text If a monster(s) is Special Summoned from the Extra Deck: The opponent of the player that conducted the Special Summon can apply this effect.●Draw 1 card.,Icon Field Spell,,,,,,,,,
11587,Performapal Call,Unlimited,"Card Text When an opponent's monster declares a direct attack: Target that attacking monster; negate the attack, and if you do, add up to 2 ""Performapal"" monsters from your Deck to your hand, whose total DEF is less than or equal to the ATK of the targeted monster. Until the end of your next turn after this card resolves, you cannot Special Summon monsters from the Extra Deck.",Icon Normal Trap,,,,,,,,,
11588,Wall of Disruption,Unlimited,Card Text When an opponent's monster declares an attack: All Attack Position monsters your opponent controls lose 800 ATK for each monster they control.,Icon Normal Trap,,,,,,,,,
11589,Last Minute Cancel,Unlimited,"Card Text When an opponent's monster declares an attack while you control an Attack Position monster(s): Change all monsters you control to Defense Position. For the rest of this turn after this card resolves, return any face-up ""Performapal"" monster you control that is destroyed by battle or card effect to the hand instead of sending it to the Graveyard.",Icon Normal Trap,,,,,,,,,
11590,Raidraptor - Readiness,Unlimited,"Card Text This turn, ""Raidraptor"" monsters you control cannot be destroyed by battle. If you have a ""Raidraptor"" monster in your Graveyard: You can banish this card from your Graveyard; you take no damage this turn.",Icon Normal Trap,,,,,,,,,
11591,Eye of the Void,Unlimited,"Card Text Special Summon 1 ""Infernoid"" monster from your hand, ignoring its Summoning conditions, but its effects are negated until the end of this turn.",Icon Normal Trap,,,,,,,,,
11592,Void Launch,Unlimited,"Card Text During each of your Standby Phases: You can send up to 2 ""Infernoid"" monsters from your Deck to the Graveyard. If you control a monster that is not an ""Infernoid"" monster, send this card to the Graveyard.",Icon Continuous Trap,,,,,,,,,
11593,Re-qliate,Unlimited,"Card Text If a monster is Normal or Flip Summoned, and it is a Level 4 or lower monster: Negate its effects until the end of this turn. If a monster(s) is Special Summoned, and it is a Level 5 or higher monster: Negate its effects until the end of this turn, also banish it when it leaves the field. If there is no ""Qli"" card on the field, except ""Re-qliate"", send this card to the Graveyard.",Icon Continuous Trap,,,,,,,,,
11594,Ritual Beast Ambush,Unlimited,"Card Text Target 1 of your ""Ritual Beast Tamer"" monsters and 1 of your ""Spiritual Beast"" monsters that are banished and/or in your Graveyard; Special Summon them in Defense Position. After this card is activated, you cannot Special Summon monsters, except ""Ritual Beast"" monsters, for the rest of this turn. You can only activate 1 ""Ritual Beast Ambush"" per turn.",Icon Normal Trap,,,,,,,,,
11595,Zenmaiday,Unlimited,"Card Text Once per turn: You can target 1 Machine-Type Xyz Monster you control; attach 1 ""Wind-Up"" monster from your hand or field to that monster as an Xyz Material. You can send this face-up card from the field to the Graveyard, then target 1 ""Wind-Up"" Xyz Monster you control; Special Summon, from your Extra Deck, 1 ""Wind-Up"" monster that is 1 Rank higher than that target, by using that target as Xyz Material. (This Special Summon is treated as an Xyz Summon. Xyz Materials attached to it also become Xyz Materials on the Summoned monster.) You cannot activate these effects in the same Chain.",Icon Continuous Trap,,,,,,,,,
11596,Unpossessed,Unlimited,"Card Text ""Charmer"" monsters you control cannot be destroyed by battle. If a ""Familiar-Possessed"" monster you control attacks an opponent's monster, it gains 800 ATK during damage calculation only. If a monster(s) you control is destroyed by battle or card effect: You can Special Summon 1 Spellcaster-Type monster with 1500 DEF from your Deck, whose Attribute is different from at least 1 of those destroyed monsters' original Attributes on the field, in Attack Position or face-down Defense Position. You can only use this effect of ""Unpossessed"" once per turn.",Icon Continuous Trap,,,,,,,,,
11597,Blaze Accelerator Reload,Unlimited,"Card Text This card's name becomes ""Tri-Blaze Accelerator"" while in the Spell & Trap Zone. During either player's Main Phase: You can send 1 ""Volcanic"" card from your hand to the Graveyard, and if you do, draw 1 card. You can only use this effect of ""Blaze Accelerator Reload"" once per turn. During either player's Main Phase: You can banish this card from your Graveyard; send 1 ""Volcanic"" card from your Deck to the Graveyard.",Icon Continuous Trap,,,,,,,,,
11598,Soul Transition,Unlimited,"Card Text If you control no Special Summoned monsters: Tribute 1 face-up Level 4 Normal Summoned/Set monster; draw 2 cards. You can only activate 1 ""Soul Transition"" per turn. You cannot Special Summon monsters the turn you activate this card.",Icon Normal Trap,,,,,,,,,
11599,Echo Oscillation,Unlimited,"Card Text You can target 1 card in your Pendulum Zone; destroy it, then draw 1 card. You can only use this effect of ""Echo Oscillation"" once per turn.",Icon Continuous Trap,,,,,,,,,
11600,Double Trap Hole,Unlimited,Card Text If your opponent Special Summons a monster(s) in Defense Position: Banish those monster(s) that were Summoned in (and currently in) Defense Position.,Icon Normal Trap,,,,,,,,,
11601,Crystal Master,Unlimited,"Card Text You can Tribute this card; add 1 ""Ultimate Crystal"" monster, ""Crystal Beast"" monster, or ""Crystal"" Spell/Trap from your Deck to your hand.",Card Type Pendulum / Effect,Attribute DARK,Level 3,Monster Type Spellcaster,ATK 1300,DEF 1000,,"Pendulum Effect Your opponent cannot target ""Ultimate Crystal"" monsters or ""Crystal Beast"" cards you control with card effects.",Pendulum Scale 5,
11602,Crystal Keeper,Unlimited,"Card Text If a ""Crystal Beast"" monster you control battles an opponent's monster, during damage calculation (Quick Effect): You can Tribute this card from your hand or face-up from your field; your battling monster's ATK/DEF become double its original ATK/DEF during that damage calculation only, but it is destroyed at the end of this Damage Step.",Card Type Pendulum / Effect,Attribute FIRE,Level 4,Monster Type Warrior,ATK 1500,DEF 1800,,"Pendulum Effect Each turn, the first time an ""Ultimate Crystal"" monster(s) and/or ""Crystal Beast"" card(s) you control would be destroyed by card effect that turn, it is not destroyed.",Pendulum Scale 2,
11603,Rainbow Refraction,Unlimited,"Card Text If a monster(s) you control whose original name is ""Rainbow Dragon"" or ""Rainbow Dark Dragon"" activated its effect this turn: Special Summon any number of ""Crystal Beast"" monsters with different names from your Deck.",Icon Quick-Play Spell,,,,,,,,,
11604,Crystal Conclave,Unlimited,"Card Text Once per turn, if a face-up ""Crystal Beast"" monster(s) you control is destroyed by battle or card effect: You can Special Summon 1 ""Crystal Beast"" monster from your Deck. You can send this face-up card from the field to the GY, then target 1 ""Crystal Beast"" card you control and 1 card on the field; return them to the hand. You cannot activate these effects in the same Chain.",Icon Continuous Trap,,,,,,,,,
11605,Heavy Freight Train Derricrane,Unlimited,"Card Text If an EARTH Machine monster(s) is Normal or Special Summoned to your field (except during the Damage Step): You can Special Summon this card from your hand, but its original ATK/DEF become halved. You can only use this effect of ""Heavy Freight Train Derricrane"" once per turn. If this card is detached from an Xyz Monster and sent to the GY to activate that monster's effect: You can target 1 card your opponent controls; destroy it.",Card Type Effect,Attribute EARTH,Level 10,Monster Type Machine,ATK 2800,DEF 2000,,,,
11606,Number 81: Superdreadnought Rail Cannon Super Dora,Unlimited,"Card Text 2 Level 10 monstersOnce per turn (Quick Effect): You can detach 1 material from this card, then target 1 face-up monster on the field; that target is unaffected by card effects, except its own, until the end of this turn.",Card Type Xyz / Effect,Attribute EARTH,,Monster Type Machine,ATK 3200,DEF 4000,Rank 10,,,
11607,Revolving Switchyard,Unlimited,"Card Text If a Level 10 EARTH Machine monster(s) is Normal or Special Summoned to your field (except during the Damage Step): You can activate this effect; your opponent takes no battle damage for the rest of this turn (even if this card leaves the field), also you Special Summon 1 Level 4 EARTH Machine monster with 1800 or more ATK from your Deck, and if you do, it becomes Level 10. You can send 1 card from your hand to the GY; add 1 Level 10 EARTH Machine monster from your Deck to your hand. You can only use 1 ""Revolving Switchyard"" effect per turn, and only once that turn.",Icon Field Spell,,,,,,,,,
11608,Symphonic Warrior Guitaar,Unlimited,"Card Text When this card is Normal Summoned: You can target 1 ""Symphonic Warrior"" monster in your Graveyard; Special Summon it.",Card Type Pendulum / Effect,Attribute WIND,Level 3,Monster Type Machine,ATK 1500,DEF 100,,"Pendulum Effect You can discard 1 card; Special Summon 1 ""Symphonic Warrior"" monster from your Deck, except ""Symphonic Warrior Guitaar"". You can only use this effect of ""Symphonic Warrior Guitaar"" once per turn.",Pendulum Scale 7,
11609,Symphonic Warrior Synthess,Unlimited,"Card Text FLIP: You can add 1 ""Symphonic Warrior"" monster from your Deck to your hand, except ""Symphonic Warrior Synthess"".Once per turn: You can target 1 monster you control or in your Graveyard whose original name includes ""Symphonic Warrior"", except ""Symphonic Warrior Synthess""; until the End Phase, this card's name becomes that monster's original name, and replace this effect with that monster's original effects. You can banish this card from your Graveyard, then target 1 of your banished ""Symphonic Warrior"" monsters, except ""Symphonic Warrior Synthess""; Special Summon it.",Card Type Flip / Effect,Attribute WIND,Level 4,Monster Type Machine,ATK 1200,DEF 1900,,,,
11610,Symph Amplifire,Unlimited,"Card Text Each time an effect of a ""Symphonic Warrior"" card is activated, place 1 Symphonic Counter on this card when that effect resolves. All ""Symphonic Warrior"" monsters on the field gain 100 ATK for each Symphonic Counter on this card. Once per turn: You can remove 5 or 7 Symphonic Counters from your field; apply this effect, depending on the number of Symphonic Counters removed.●5 Counters: Inflict 300 damage to your opponent for each ""Symphonic Warrior"" card on the field.●7 Counters: Banish cards your opponent controls and/or in their Graveyard, up to the number of ""Symphonic Warrior"" cards on the field.",Icon Field Spell,,,,,,,,,
11611,Card information not found.,Unlimited,Card information not found.,,,,,,,,,,
11612,Card information not found.,Unlimited,Card information not found.,,,,,,,,,,
11613,Card information not found.,Unlimited,Card information not found.,,,,,,,,,,
11614,Ultimaya Tzolkin,Unlimited,"Card Text (This card's original Level is always treated as 12.)Cannot be Synchro Summoned. Must be Special Summoned (from your Extra Deck) by sending 2 Level 5 or higher monsters you control with the same Level to the Graveyard (1 Tuner and 1 non-Tuner), and cannot be Special Summoned by other ways. Once per turn, when a Spell/Trap Card(s) is Set on your side of the field (except during the Damage Step): You can Special Summon 1 ""Power Tool"" Synchro Monster or 1 Level 7 or 8 Dragon-Type Synchro Monster from your Extra Deck. Cannot be targeted for attacks or by card effects, while you control another Synchro Monster.",Card Type Synchro / Effect,Attribute DARK,Level 0,Monster Type Dragon,ATK 0,DEF 0,,,,
11615,Performapal Pendulum Sorcerer,Unlimited,"Card Text If this card is Special Summoned: You can target up to 2 cards you control; destroy them, and if you do, add ""Performapal"" monsters with different names from your Deck to your hand, except ""Performapal Pendulum Sorcerer"", equal to the number of cards destroyed. You can only use this effect of ""Performapal Pendulum Sorcerer"" once per turn.",Card Type Pendulum / Effect,Attribute EARTH,Level 4,Monster Type Spellcaster,ATK 1500,DEF 800,,"Pendulum Effect If a ""Performapal"" monster(s) is Pendulum Summoned to your field: All ""Performapal"" monsters you currently control gain 1000 ATK until the end of this turn (even if this card leaves the field).",Pendulum Scale 2,
11616,D/D/D Oblivion King Abyss Ragnarok,Unlimited,"Card Text If this card is Normal or Special Summoned: You can target 1 ""D/D/D"" monster in your Graveyard; Special Summon it. You can only use this effect of ""D/D/D Oblivion King Abyss Ragnarok"" once per turn. Once per turn: You can Tribute 1 other ""D/D"" monster, then target 1 monster your opponent controls; banish it.",Card Type Pendulum / Effect,Attribute DARK,Level 8,Monster Type Fiend,ATK 2200,DEF 3000,,"Pendulum Effect If you Special Summon a ""D/D"" monster(s), except during the Damage Step: You can target 1 ""D/D"" monster in your Graveyard; any battle damage your opponent takes becomes halved for the rest of this turn, also Special Summon that monster, and if you do, take 1000 damage. You can only use this effect of ""D/D/D Oblivion King Abyss Ragnarok"" once per turn.",Pendulum Scale 5,
11617,Frightfur Tiger,Unlimited,"Card Text ""Edge Imp Sabres"" + 1 or more ""Fluffal"" monstersWhen this card is Fusion Summoned: You can target cards on the field, up to the number of Fusion Materials used for its Fusion Summon; destroy them. All ""Frightfur"" monsters you control gain 300 ATK for each ""Fluffal"" monster and ""Frightfur"" monster you control. You can only control 1 ""Frightfur Tiger"".",Card Type Fusion / Effect,Attribute DARK,Level 6,Monster Type Fiend,ATK 1900,DEF 1200,,,,
11618,Superheavy Samurai Ogre Shutendoji,Unlimited,"Card Text 1 Machine-Type Tuner + 1 or more non-Tuner ""Superheavy Samurai"" monstersThis card can attack while in face-up Defense Position. If it does, apply its DEF for damage calculation. When this card is Synchro Summoned, while you have no Spell/Trap Cards in your Graveyard: You can destroy all Spell and Trap Cards your opponent controls.",Card Type Synchro / Effect,Attribute EARTH,Level 6,Monster Type Machine,ATK 500,DEF 2500,,,,
11619,Raidraptor - Force Strix,Unlimited,Card Text 2 Level 4 monstersThis card gains 500 ATK and DEF for each Winged Beast monster you control (other than this card). Once per turn: You can detach 1 material from this card; add 1 Level 4 DARK Winged Beast monster from your Deck to your hand.,Card Type Xyz / Effect,Attribute DARK,,Monster Type Winged Beast,ATK 100,DEF 2000,Rank 4,,,
11620,Jet Synchron,Unlimited,"Card Text If this card is sent to the GY as Synchro Material: You can add 1 ""Junk"" monster from your Deck to your hand. If this card is in your GY: You can send 1 card from your hand to the GY; Special Summon this card, but banish it when it leaves the field. You can only use 1 ""Jet Synchron"" effect per turn, and only once that turn.",Card Type Tuner / Effect,Attribute FIRE,Level 1,Monster Type Machine,ATK 500,DEF 0,,,,
11621,Rush Warrior,Unlimited,"Card Text During damage calculation (in either player's turn), if a ""Warrior"" Synchro Monster you control battles an opponent's monster: You can send this card from your hand to the Graveyard; your battling monster's ATK becomes double its current ATK during that damage calculation only. You can banish this card from your Graveyard, then target 1 ""Synchron"" monster in your Graveyard; add it to your hand. You can only use each effect of ""Rush Warrior"" once per turn.",Card Type Effect,Attribute WIND,Level 2,Monster Type Warrior,ATK 300,DEF 1200,,,,
11622,Synchron Carrier,Unlimited,"Card Text During your Main Phase, you can Normal Summon 1 ""Synchron"" monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If another ""Synchron"" monster is sent to your Graveyard as a Synchro Material for the Synchro Summon of a Warrior or Machine-Type Synchro Monster, while you control this card: You can Special Summon 1 ""Synchron Token"" (Machine-Type/EARTH/Level 2/ATK 1000/DEF 0). You can only use this effect of ""Synchron Carrier"" once per turn.",Card Type Effect,Attribute EARTH,Level 2,Monster Type Machine,ATK 0,DEF 1000,,,,
11623,Scrap Fist,Unlimited,"Card Text Target 1 ""Junk Warrior"" you control; if it battles an opponent's monster this turn while you control it, apply these effects.●Your opponent cannot activate cards or effects until the end of the Damage Step.●If it attacks a Defense Position monster, inflict piercing battle damage to your opponent.●Double any battle damage your opponent takes.●It cannot be destroyed by battle.●Destroy the opponent's monster that battled it at the end of the Damage Step.",Icon Quick-Play Spell,,,,,,,,,
11624,Limit Overdrive,Unlimited,"Card Text Return 1 Tuner Synchro Monster and 1 non-Tuner Synchro Monster you control to the Extra Deck; Special Summon 1 Synchro Monster from your Extra Deck that has a Level equal to the combined Levels the 2 monsters had on the field, ignoring its Summoning conditions. You can only activate 1 ""Limit Overdrive"" per turn.",Icon Quick-Play Spell,,,,,,,,,
11625,Starlight Junktion,Unlimited,"Card Text You can Tribute 1 Tuner monster; Special Summon 1 ""Synchron"" monster from your Deck with a different Level than the Tributed monster had on the field. During your opponent's turn, if you Special Summon a Synchro Monster from your Extra Deck: Target 1 card on the field; shuffle it into the Deck. You can only use each effect of ""Starlight Junktion"" once per turn.",Icon Field Spell,,,,,,,,,
11626,Scrap-Iron Statue,Unlimited,"Card Text When a Spell/Trap Card that is already face-up on your opponent's field activates its effect: Destroy that card, also, after that, Set this card face-down instead of sending it to the GY. If this card is sent to the GY: You can target 1 ""Junk"" monster in your GY; Special Summon it in Defense Position. You can only use each effect of ""Scrap-Iron Statue"" once per turn.",Icon Normal Trap,,,,,,,,,
11627,Stardust Warrior,Unlimited,"Card Text 1 Tuner Synchro Monster + 1 or more non-Tuner Synchro MonstersDuring either player's turn, if your opponent would Special Summon a monster(s): You can Tribute this card; negate the Summon, and if you do, destroy that monster(s). During the End Phase, if this effect was activated this turn (and was not negated): You can Special Summon this card from your Graveyard. If this card is destroyed by battle, or if this face-up card you control leaves the field because of an opponent's card effect: You can Special Summon 1 Level 8 or lower ""Warrior"" Synchro Monster from your Extra Deck. (This Special Summon is treated as a Synchro Summon.)",Card Type Synchro / Effect,Attribute WIND,Level 10,Monster Type Warrior,ATK 3000,DEF 2500,,,,
11628,Jet Warrior,Unlimited,"Card Text ""Jet Synchron"" + 1 or more non-Tuner monstersIf this card is Synchro Summoned: You can target 1 card your opponent controls; return it to the hand. If this card is in your Graveyard: You can Tribute 1 Level 2 or lower monster; Special Summon this card in Defense Position, but banish it when it leaves the field. You can only use each effect of ""Jet Warrior"" once per turn.",Card Type Synchro / Effect,Attribute FIRE,Level 5,Monster Type Warrior,ATK 2100,DEF 1200,,,,
11629,Accel Synchron,Unlimited,"Card Text 1 Tuner + 1+ non-Tuner monstersOnce per turn: You can send 1 ""Synchron"" monster from your Deck to the GY, then activate 1 of these effects;●Increase this card's Level by the Level of the sent monster.●Reduce this card's Level by the Level of the sent monster.During your opponent's Main Phase, you can (Quick Effect): Immediately after this effect resolves, Synchro Summon using this card you control. You can only Synchro Summon ""Accel Synchron"" once per turn.",Card Type Synchro / Tuner / Effect,Attribute DARK,Level 5,Monster Type Machine,ATK 500,DEF 2100,,,,
11630,Dragoons of Draconia,Unlimited,"Card Text Armed with muskets and iron spears, these mounted land troops of the Draconia Empire are feared by the Reptier Kingdom and other bordering nations.",Card Type Pendulum / Normal,Attribute FIRE,Level 4,Monster Type Beast-Warrior,ATK 1800,DEF 200,,"Pendulum Effect Once per turn, if a Normal Monster you control destroys an opponent's monster by battle, after damage calculation: You can add 1 Level 4 or higher Normal Monster from your Deck to your hand.",Pendulum Scale 2,
11631,Mischief of the Gnomes,Unlimited,"Card Text This turn, reduce the Levels of all monsters in each player's hand by 1 (even after they are Summoned/Set). You can banish this card from the Graveyard; this turn, reduce the Levels of all monsters in each player's hand by 1 (even after they are Summoned/Set).",Icon Normal Trap,,,,,,,,,
11632,"Farfa, Malebranche of the Burning Abyss",Unlimited,"Card Text If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of these effects of ""Farfa, Malebranche of the Burning Abyss"" per turn, and only once that turn.●If you control no Spell/Trap Cards: You can Special Summon this card from your hand.●If this card is sent to the Graveyard: You can target 1 monster on the field; banish it until the End Phase.",Card Type Effect,Attribute DARK,Level 3,Monster Type Fiend,ATK 1000,DEF 1900,,,,
11633,"Libic, Malebranche of the Burning Abyss",Unlimited,"Card Text If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of these effects of ""Libic, Malebranche of the Burning Abyss"" per turn, and only once that turn.●If you control no Spell/Trap Cards: You can Special Summon this card from your hand.●If this card is sent to the Graveyard: You can Special Summon 1 Level 3 DARK Fiend-Type monster from your hand, but its effects are negated.",Card Type Effect,Attribute DARK,Level 3,Monster Type Fiend,ATK 1300,DEF 700,,,,
11634,"Cagna, Malebranche of the Burning Abyss",Unlimited,"Card Text If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of these effects of ""Cagna, Malebranche of the Burning Abyss"" per turn, and only once that turn.●If you control no Spell/Trap Cards: You can Special Summon this card from your hand.●If this card is sent to the Graveyard: You can send 1 ""Burning Abyss"" Spell/Trap Card from your Deck to the Graveyard.",Card Type Effect,Attribute DARK,Level 3,Monster Type Fiend,ATK 1500,DEF 300,,,,
11635,"Malacoda, Netherlord of the Burning Abyss",Unlimited,"Card Text You can Ritual Summon this card with ""Good & Evil in the Burning Abyss"". Must be Ritual Summoned, and cannot be Special Summoned by other ways. Once per turn, during either player's turn: You can send 1 ""Burning Abyss"" monster from your hand to the Graveyard, then target 1 face-up monster your opponent controls; until the end of this turn, that target loses ATK and DEF equal to the ATK and DEF of the ""Burning Abyss"" monster sent to the Graveyard this way. If this card is sent from the field to the Graveyard: You can target 1 card on the field; send it to the Graveyard.",Card Type Ritual / Effect,Attribute DARK,Level 6,Monster Type Fiend,ATK 2700,DEF 2200,,,,
11636,Good & Evil in the Burning Abyss,Unlimited,"Card Text This card is used to Ritual Summon ""Malacoda, Netherlord of the Burning Abyss"". You must also Tribute monsters from your hand or field whose total Levels equal 6 or more. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard and send 1 ""Burning Abyss"" monster from your hand to the Graveyard; add 1 ""Burning Abyss"" card from your Deck to your hand. You can only use this effect of ""Good & Evil in the Burning Abyss"" once per turn.",Icon Ritual Spell,,,,,,,,,
11637,U.A. Playmaker,Unlimited,"Card Text You can Special Summon this card (from your hand) by returning 1 ""U.A."" monster you control to the hand, except ""U.A. Playmaker"". You can only Special Summon ""U.A. Playmaker"" once per turn this way. When another ""U.A."" monster you control declares an attack: You can have this card lose exactly 800 ATK, and if you do, your attacking monster gains 800 ATK.",Card Type Effect,Attribute EARTH,Level 8,Monster Type Warrior,ATK 2600,DEF 2000,,,,
11638,U.A. Blockbacker,Unlimited,"Card Text You can Special Summon this card (from your hand) by returning 1 ""U.A."" monster you control to the hand, except ""U.A. Blockbacker"". You can only Special Summon ""U.A. Blockbacker"" once per turn this way. Once per turn, when your opponent Special Summons a monster(s): You can change their battle positions, and if you do, negate their effects.",Card Type Effect,Attribute EARTH,Level 7,Monster Type Warrior,ATK 1600,DEF 2700,,,,
11639,U.A. Turnover Tactics,Unlimited,"Card Text If you control 2 or more ""U.A."" monsters with different names: Shuffle as many monsters on the field as possible into the Deck, then Special Summon ""U.A."" monsters from your Deck that have different names from each other, up to the number of cards shuffled into your Main Deck, but those monsters cannot attack this turn. Then your opponent can Special Summon monsters from their Deck, up to the number of cards shuffled into their Main Deck. You can only activate 1 ""U.A. Turnover Tactics"" per turn.",Icon Quick-Play Spell,,,,,,,,,
11640,Hi-Speedroid Kendama,Unlimited,"Card Text 1 Tuner + 1 or more non-Tuner monstersIf this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. You can only use each of the following effects of ""Hi-Speedroid Kendama"" once per turn.●You can banish 1 Machine-Type monster from your Graveyard; inflict 500 damage to your opponent.●If this card is in your Graveyard and you control no cards: You can Special Summon this card. You cannot Normal Summon/Set the turn you activate this effect.",Card Type Synchro / Effect,Attribute WIND,Level 6,Monster Type Machine,ATK 2200,DEF 1600,,,,
11641,Junk Giant,Unlimited,"Card Text If your opponent controls a Level 5 or higher monster, you can Special Summon this card (from your hand). A Synchro Summon using this card as a Material cannot be negated. If a player Synchro Summons using this card as a Material, the other player cannot activate cards or effects when that monster is Synchro Summoned.",Card Type Effect,Attribute EARTH,Level 6,Monster Type Machine,ATK 2000,DEF 2400,,,,
11642,Absolute King Back Jack,Unlimited,"Card Text During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",Card Type Effect,Attribute DARK,Level 1,Monster Type Fiend,ATK 0,DEF 0,,,,
11643,Rose Paladin,Unlimited,"Card Text When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can Tribute this card; Special Summon 1 Plant-Type monster from your hand or Deck in Defense Position. You can send this card from your hand to the Graveyard; add 1 Level 7 or higher Plant-Type monster from your Deck to your hand. You can only use this effect of ""Rose Paladin"" once per turn.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Warrior,ATK 1800,DEF 200,,,,
11644,"Ghost Charon, the Underworld Boatman",Unlimited,"Card Text If your opponent controls a monster, and you control no other monsters: You can target 1 Fusion Monster in your Graveyard; banish both this card from the field and that target, and if you do, Special Summon 1 Dragon-Type Synchro Monster from your Extra Deck whose Level equals the total Levels those 2 monsters had (original Level, if face-down). You can only use this effect of ""Ghost Charon, the Underworld Boatman"" once per turn. You cannot Special Summon monsters the turn you activate this effect, except Dragon-Type monsters.",Card Type Tuner / Effect,Attribute DARK,Level 2,Monster Type Zombie,ATK 500,DEF 0,,,,
11645,Peropero Cerperus,Unlimited,"Card Text If you take damage by battle or an opponent's card effect while this card is in the GY: You can banish this card from the GY, then target 1 card on the field; destroy it.",Card Type Effect,Attribute EARTH,Level 3,Monster Type Beast,ATK 0,DEF 1800,,,,
11646,"Tristan, Knight of the Underworld",Unlimited,Card Text When this card is Normal Summoned: You can target 1 Zombie monster with 0 DEF in your GY; add it to your hand. Gains 300 ATK if you control another Zombie monster(s).,Card Type Effect,Attribute DARK,Level 4,Monster Type Zombie,ATK 1800,DEF 0,,,,
11647,"Isolde, Belle of the Underworld",Unlimited,"Card Text If you control ""Tristan, Knight of the Underworld"", you can Special Summon this card (from your hand). Cannot be Special Summoned by other ways. You can target up to 2 Zombie monsters you control and declare a Level from 5 to 8; they become that Level until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except Zombie monsters. You can only use this effect of ""Isolde, Belle of the Underworld"" once per turn.",Card Type Effect,Attribute DARK,Level 4,Monster Type Zombie,ATK 1000,DEF 0,,,,
11648,Masked HERO Anki,Unlimited,"Card Text Must be Special Summoned by ""Mask Change"". This card can attack directly, but when it does so using this effect, the battle damage inflicted to your opponent is halved. When this card destroys an opponent's monster by battle and sends it to the GY: You can add 1 ""Change"" Quick-Play Spell Card from your Deck to your hand. You can only use this effect of ""Masked HERO Anki"" once per turn.",Card Type Fusion / Effect,Attribute DARK,Level 8,Monster Type Warrior,ATK 2800,DEF 1200,,,,
11649,Blackwing - Nothung the Starlight,Unlimited,"Card Text 1 Tuner + 1 or more non-Tuner monstersIf this card is Special Summoned: Inflict 800 damage to your opponent, then 1 face-up monster your opponent controls loses 800 ATK and DEF. You can only use this effect of ""Blackwing - Nothung the Starlight"" once per turn. During your Main Phase, you can Normal Summon 1 ""Blackwing"" monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)",Card Type Synchro / Effect,Attribute DARK,Level 6,Monster Type Winged Beast,ATK 2400,DEF 1600,,,,
11650,Dragocytos Corrupted Nethersoul Dragon,Unlimited,"Card Text 1 DARK Tuner + 1 non-Tuner Dragon-Type monsterCannot be destroyed by battle. When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can activate this effect; this card can make a second attack on an opponent's monster in a row. During your Standby Phase: You can target 1 face-up monster your opponent controls; its ATK becomes half its current ATK, and if it does, inflict damage to your opponent equal to that lost ATK.",Card Type Synchro / Effect,Attribute DARK,Level 10,Monster Type Dragon,ATK 4000,DEF 2000,,,,
11651,Number 95: Galaxy-Eyes Dark Matter Dragon,Forbidden,"Card Text 3 Level 9 monstersYou can also Xyz Summon this card by using a ""Galaxy-Eyes"" Xyz Monster you control as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) Cannot be used as an Xyz Material for an Xyz Summon. When this card is Xyz Summoned: You can send 3 Dragon-Type monsters with different names from your Deck to the Graveyard; your opponent banishes 3 monsters from their Deck. You can detach 1 Xyz Material from this card; this card can make up to 2 attacks on monsters during each Battle Phase this turn. Forbidden",Card Type Xyz / Effect,Attribute DARK,,Monster Type Dragon,ATK 4000,DEF 0,Rank 9,,,
