"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon","Rank"
"Domino Effect","Unlimited","Card Text When a monster your opponent controls is destroyed by battle and sent to the Graveyard, you can send 1 monster you control to the Graveyard to destroy 1 monster your opponent controls.","","","","","","","Icon Continuous Spell",""
"Junk Barrage","Unlimited","Card Text When the equipped monster destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to half the destroyed monster's ATK in the Graveyard.","","","","","","","Icon Equip Spell",""
"Battle Tuned","Unlimited","Card Text Remove from play 1 Tuner monster from your Graveyard. Target face-up monster you control gains ATK equal to the removed monster's ATK.","","","","","","","Icon Quick-Play Spell",""
"De-Synchro","Unlimited","Card Text Target 1 Synchro Monster on the field; return that target to the Extra Deck, then, if all of the monsters that were used for the Synchro Summon of that monster are in your GY, you can Special Summon all of them.","","","","","","","Icon Normal Spell",""
"Lightwave Tuning","Unlimited","Card Text Select 1 Level 4 LIGHT monster you control. It is treated as a Tuner monster while it is face-up on the field.","","","","","","","Icon Normal Spell",""
"Psi-Station","Unlimited","Card Text When a Psychic-Type monster is Normal Summoned: You can pay 500 LP; increase its Level by 1 and ATK by 300. (This remains even if this card leaves the field.)","","","","","","","Icon Continuous Spell",""
"Psi-Impulse","Unlimited","Card Text Tribute 1 Psychic-Type monster. Return all cards in your opponent's hand to the Deck. Then, they draw 3 cards.","","","","","","","Icon Normal Spell",""
"Emergency Teleport","Limited","Card Text Special Summon 1 Level 3 or lower Psychic-Type monster from your hand or Deck, but banish it during the End Phase of this turn. Limited","","","","","","","Icon Quick-Play Spell",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Lightsworn Sabre","Unlimited","Card Text Equip only to a ""Lightsworn"" monster. It gains 700 ATK. When this card is sent from your Deck to the Graveyard: You can target 1 ""Lightsworn"" monster you control; equip this card to that target.","","","","","","","Icon Equip Spell",""
"Unstable Evolution","Unlimited","Card Text While your LP is lower than your opponent's, the equipped monster's original ATK becomes 2400. While your LP is higher, the equipped monster's original ATK becomes 1000.","","","","","","","Icon Equip Spell",""
"Recycling Batteries","Unlimited","Card Text Target 2 Thunder-Type monsters with 1500 or less ATK in your Graveyard; add those targets to your hand.","","","","","","","Icon Normal Spell",""
"Book of Eclipse","Unlimited","Card Text Change all face-up monsters on the field to face-down Defense Position. During the End Phase of this turn, change as many face-down Defense Position monsters your opponent controls as possible to face-up Defense Position, then your opponent draws cards equal to the number of monsters changed face-up by this effect.","","","","","","","Icon Quick-Play Spell",""
"Equip Shot","Unlimited","Card Text Activate only during the Battle Phase. Select 1 Equip Card equipped to a face-up Attack Position monster you control, and select 1 face-up Attack Position monster your opponent controls. Equip that monster with the selected Equip Card. Then, conduct battle between your previously equipped monster and the selected monster (other effects cannot be activated during this battle).","","","","","","","Icon Normal Trap",""
"Graceful Revival","Unlimited","Card Text Activate this card by targeting 1 Level 2 or lower monster in your Graveyard; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster leaves the field, destroy this card.","","","","","","","Icon Continuous Trap",""
"Defense Draw","Unlimited","Card Text During your opponent's turn, at damage calculation: Make the battle damage you take from this battle 0, and if you do, draw 1 card.","","","","","","","Icon Normal Trap",""
"Remote Revenge","Unlimited","Card Text Activate only when a monster you control is targeted by a Spell, Trap or Effect Monster's effect that destroys 1 monster on the field. Switch the target to an appropriate monster your opponent controls.","","","","","","","Icon Normal Trap",""
"Spacegate","Unlimited","Card Text Each time a monster your opponent controls attacks or is attacked, place 1 Gate Counter on this card at the end of the Damage Step. During your Main Phase: You can send this card to the Graveyard; Special Summon 1 monster from your hand whose Level is less than or equal to the number of Gate Counters on this card.","","","","","","","Icon Continuous Trap",""
"Synchro Deflector","Unlimited","Card Text Activate only when a face-up Synchro Monster you control is selected as an attack target. Negate the attack and destroy 1 monster your opponent controls.","","","","","","","Icon Normal Trap",""
"Broken Blocker","Unlimited","Card Text Activate only when a Defense Position monster you control, whose DEF is higher than its ATK, is destroyed by battle. Special Summon up to 2 monsters with the same name as that monster from your Deck in face-up Defense Position.","","","","","","","Icon Normal Trap",""
"Machine Lord Ür","Unlimited","Card Text This card can attack all monsters your opponent controls once each. If this card attacks or is attacked, your opponent takes no battle damage.","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1600","DEF 1500","",""
"Telepathic Power","Unlimited","Card Text When a Psychic-Type monster you control is destroyed by battle with an opponent's attacking monster: Target the opponent's monster; destroy that target, and if you do, gain LP equal to the destroyed monster's ATK on the field.","","","","","","","Icon Normal Trap",""
"Mind Over Matter","Unlimited","Card Text When a monster would be Normal or Special Summoned, OR a Spell/Trap Card is activated: Tribute 1 Psychic-Type monster; negate the Summon or activation, and if you do, destroy that card.","","","","","","","Icon Counter Trap",""
"Gladiator Beast War Chariot","Unlimited","Card Text When an Effect Monster's effect is activated, if you control a face-up ""Gladiator Beast"" monster: Negate the activation and destroy it.","","","","","","","Icon Counter Trap",""
"Lightsworn Barrier","Unlimited","Card Text When a ""Lightsworn"" monster you control is targeted for an attack: You can send the top 2 cards of your Deck to the Graveyard, then target the attacking monster; negate the attack.","","","","","","","Icon Continuous Trap",""
"Intercept","Unlimited","Card Text Activate only when a monster is Tribute Summoned with 1 Tribute. Take control of that monster.","","","","","","","Icon Counter Trap",""
"Judgment of Thunder","Unlimited","Card Text Activate only when you Summon a Thunder-Type monster(s). Destroy 1 card your opponent controls.","","","","","","","Icon Normal Trap",""
"Psychic Rejuvenation","Unlimited","Card Text Gain 1000 Life Points for each face-up Psychic-Type monster you control.","","","","","","","Icon Normal Trap",""
"Fish Depth Charge","Unlimited","Card Text Tribute 1 Fish-Type monster to target 1 card on the field; destroy that target, and if you do, draw 1 card.","","","","","","","Icon Normal Trap",""
"Needlebug Nest","Unlimited","Card Text Send the top 5 cards of your Deck to the GY.","","","","","","","Icon Normal Trap",""
"Dark Simorgh","Unlimited","Card Text While face-up on the field, this card is also WIND-Attribute. You can banish 1 DARK monster and 1 WIND monster from your Graveyard; Special Summon this card from your hand. You can banish 1 DARK monster and 1 WIND monster from your hand; Special Summon this card from your Graveyard. Your opponent cannot Set any cards on the field.","Attribute DARK","Level 7","Monster Type Winged Beast","Card Type Effect","ATK 2700","DEF 1000","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Alector, Sovereign of Birds","Unlimited","Card Text If your opponent controls 2 or more face-up monsters of the same Attribute, you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up card on the field; that target's effects are negated during this turn. There can only be 1 face-up ""Alector, Sovereign of Birds"" on the field.","Attribute WIND","Level 6","Monster Type Winged Beast","Card Type Effect","ATK 2400","DEF 2000","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Power Filter","Unlimited","Card Text Neither player can Special Summon monsters with 1000 or less ATK.","","","","","","","Icon Continuous Spell",""
"Dupe Frog","Unlimited","Card Text This card's name becomes ""Des Frog"" while it is on the field. Monsters your opponent controls cannot target monsters for attacks, except this one. When this card is sent from the field to the Graveyard: You can add 1 ""Frog"" monster from your Deck or Graveyard to your hand, except ""Dupe Frog"".","Attribute WATER","Level 2","Monster Type Aqua","Card Type Effect","ATK 100","DEF 2000","",""
"Psychic Overload","Unlimited","Card Text Target 3 Psychic-Type monsters in your Graveyard; shuffle all 3 into the Deck, then draw 2 cards.","","","","","","","Icon Normal Trap",""
"Beast Machine King Barbaros Ür","Unlimited","Card Text You can Special Summon this card (from your hand) by banishing 1 Machine-Type monster and 1 Beast-Warrior-Type monster from your hand, field, and/or Graveyard. If this card attacks or is attacked, your opponent takes no battle damage.","Attribute EARTH","Level 8","Monster Type Beast-Warrior","Card Type Effect","ATK 3800","DEF 1200","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Guardian of Order","Unlimited","Card Text If you control 2 or more LIGHT monsters, you can Special Summon this card (from your hand). You can only control 1 ""Guardian of Order"".","Attribute LIGHT","Level 8","Monster Type Warrior","Card Type Effect","ATK 2500","DEF 1200","",""
"Aurkus, Lightsworn Druid","Unlimited","Card Text Neither player can target ""Lightsworn"" monsters (anywhere) with card effects. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard.","Attribute LIGHT","Level 3","Monster Type Beast-Warrior","Card Type Effect","ATK 1200","DEF 1800","",""
"Ehren, Lightsworn Monk","Unlimited","Card Text If this card attacks a Defense Position monster, before damage calculation: Shuffle that monster into the Deck. Once per turn, during your End Phase: Send the top 3 cards of your Deck to the Graveyard.","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Effect","ATK 1600","DEF 1000","",""
"Dark General Freed","Unlimited","Card Text Cannot be Special Summoned. Negate any Spell effects that target a face-up DARK monster(s) you control, and if you do, destroy that Spell Card. During your Draw Phase, instead of conducting your normal draw: You can add 1 Level 4 DARK monster from your Deck to your hand. This card must be face-up on the field to activate and to resolve this effect.","Attribute DARK","Level 5","Monster Type Warrior","Card Type Effect","ATK 2300","DEF 1700","",""
"Magical Exemplar","Unlimited","Card Text Each time a Spell Card is activated, place 2 Spell Counters on this card when that Spell resolves. Once per turn: You can remove any number of Spell Counters from this card; Special Summon 1 Spellcaster monster from your hand or GY whose Level is equal to the number of Spell Counters you removed.","Attribute EARTH","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1700","DEF 1400","",""
"Maniacal Servant","Unlimited","Card Text Once per turn during your opponent's Standby Phase, you can remove from play any number of DARK monsters from your Graveyard. This monster gains 500 DEF for each monster you removed, until the End Phase.","Attribute DARK","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 600","DEF 1000","",""
"Flame Spirit Ignis","Unlimited","Card Text You can Tribute 1 face-up FIRE monster to inflict 100 damage to your opponent for each FIRE monsters in your Graveyard.","Attribute FIRE","Level 4","Monster Type Pyro","Card Type Effect","ATK 1500","DEF 1200","",""
"Super-Ancient Dinobeast","Unlimited","Card Text You can Tribute Summon this card in face-up Attack Position by Tributing 1 Dinosaur monster. When a Dinosaur monster(s) is Special Summoned from your GY while this monster is on the field (except during the Damage Step): You can draw 1 card.","Attribute EARTH","Level 8","Monster Type Dinosaur","Card Type Effect","ATK 2700","DEF 1400","",""
"Vanquishing Light","Unlimited","Card Text When a monster(s) would be Summoned: Tribute 1 ""Lightsworn"" monster; negate the Summon, and if you do, destroy that monster(s).","","","","","","","Icon Counter Trap",""
"Red Ogre","Unlimited","Card Text When this card is Normal Summoned: You can send any number of cards from your hand to the Graveyard, then target the same number of cards on the field; return those targets to the hand.","Attribute EARTH","Level 7","Monster Type Zombie","Card Type Effect","ATK 2800","DEF 2100","",""
"Neos Wiseman","Unlimited","Card Text Cannot be Normal Summoned or Set. Must be Special Summoned (from your hand) by sending 1 face-up ""Elemental HERO Neos"" and 1 face-up ""Yubel"" you control to the Graveyard, and cannot be Special Summoned by other ways. This card cannot be destroyed by card effects. At the end of the Damage Step, if this card battled an opponent's monster: Inflict damage to your opponent equal to the ATK of the monster it battled, and you gain Life Points equal to that monster's DEF.","Attribute LIGHT","Level 10","Monster Type Spellcaster","Card Type Effect","ATK 3000","DEF 3000","",""
"Elemental HERO Divine Neos","Unlimited","Card Text Must be Fusion Summoned using any 5 ""Neos"", ""Neo Space"", ""Neo-Spacian"", or ""HERO"" monsters, including at least 1 ""Neos"" or ""Neo Space"" monster, 1 ""Neo-Spacian"" monster, and 1 ""HERO"" monster, and cannot be Special Summoned by other ways. Once per turn: You can banish 1 ""Neos"", ""Neo Space"", ""Neo-Spacian"", or ""HERO"" monster from your Graveyard; this card gains 500 ATK, and until the End Phase it also gains the banished monster's effects.","Attribute LIGHT","Level 12","Monster Type Warrior","Card Type Fusion / Effect","ATK 2500","DEF 2500","",""
"Genex Controller","Unlimited","Card Text As a master of all powers and elements, this is one of the few Genex monsters that can communicate with its companions.","Attribute DARK","Level 3","Monster Type Machine","Card Type Tuner / Normal","ATK 1400","DEF 1200","",""
"Genex Undine","Unlimited","Card Text When this card is Normal Summoned: You can send 1 WATER monster from your Deck to the Graveyard; add 1 ""Genex Controller"" from your Deck to your hand.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Effect","ATK 1200","DEF 600","",""
"Genex Power Planner","Unlimited","Card Text When this card is Normal Summoned, you can add 1 Level 3 ""Genex"" Effect Monster from your Deck to your hand.","Attribute LIGHT","Level 1","Monster Type Spellcaster","Card Type Effect","ATK 300","DEF 200","",""
"Genex Searcher","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 ""Genex"" monster with 1500 or less ATK from your Deck in face-up Attack Position.","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1600","DEF 400","",""
"Genex Worker","Unlimited","Card Text You can Tribute this card to Special Summon 1 ""Genex"" monster from your hand.","Attribute WIND","Level 3","Monster Type Machine","Card Type Effect","ATK 1200","DEF 1200","",""
"Reese the Ice Mistress","Unlimited","Card Text This card cannot be destroyed by battle with a Level 4 or higher monster.","Attribute WATER","Level 2","Monster Type Sea Serpent","Card Type Tuner / Effect","ATK 800","DEF 800","",""
"Royal Knight of the Ice Barrier","Unlimited","Card Text When this card is Tribute Summoned, Special Summon 1 ""Ice Coffin Token"" (Aqua-Type/WATER/Level 1/ATK 1000/DEF 0) in Attack Position to your opponent's side of the field. This Token cannot be Tributed for a Tribute Summon.","Attribute WATER","Level 5","Monster Type Warrior","Card Type Effect","ATK 2000","DEF 2000","",""
"Numbing Grub in the Ice Barrier","Unlimited","Card Text When this card is Normal Summoned, select 1 unused Main Monster Zone. While this card is face-up on the field, that selected Main Monster Zone cannot be used.","Attribute WATER","Level 4","Monster Type Insect","Card Type Effect","ATK 1300","DEF 1800","",""
"Mist Valley Watcher","Unlimited","Card Text Descendant of a family that has served as Mist Valley watchman over the generations. Never missed a single thing that happened in the valley, no matter how minute.","Attribute WIND","Level 4","Monster Type Spellcaster","Card Type Normal","ATK 1500","DEF 1900","",""
"Mist Condor","Unlimited","Card Text You can Special Summon this card from your hand by returning 1 face-up ""Mist Valley"" monster you control to the hand. If you do, this card's ATK becomes 1700.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Effect","ATK 1400","DEF 400","",""
"Mist Valley Windmaster","Unlimited","Card Text Once per turn, if both players have 5 or more cards in their hand, you can activate this effect to make both players send cards from their hand to the Graveyard until they have 4 cards.","Attribute WIND","Level 2","Monster Type Winged Beast","Card Type Tuner / Effect","ATK 400","DEF 800","",""
"Flamvell Poun","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard: You can add 1 monster with 200 DEF from your Deck to your hand.","Attribute FIRE","Level 1","Monster Type Pyro","Card Type Effect","ATK 200","DEF 200","",""
"Flamvell Archer","Unlimited","Card Text Once per turn, you can Tribute 1 face-up Pyro-Type monster you control to have all ""Flamvell"" monsters on the field gain 800 ATK until the End Phase.","Attribute FIRE","Level 3","Monster Type Pyro","Card Type Tuner / Effect","ATK 1000","DEF 200","",""
"Flamvell Fiend","Unlimited","Card Text When this card inflicts Battle Damage to your opponent, inflict 200 damage to your opponent for each Pyro-Type monster in your Graveyard.","Attribute FIRE","Level 5","Monster Type Fiend","Card Type Effect","ATK 2100","DEF 1200","",""
"X-Saber Anu Piranha","Unlimited","Card Text A female X-Saber Warrior, known for her graceful attacks and calm decision making in battle. Her ambition is merciless, and strikes fear in the hearts of her enemies.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1800","DEF 1100","",""
"X-Saber Galahad","Unlimited","Card Text If this card attacks an opponent's monster, this card gains 300 ATK during the Damage Step only. If this card is attacked by an opponent's monster, this card loses 500 ATK during the Damage Step only. When this card is selected as an attack target, you can Tribute another ""Saber"" monster to negate the attack.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1800","DEF 800","",""
"X-Saber Palomuro","Unlimited","Card Text When another ""Saber"" monster you control is destroyed by battle and sent to the Graveyard, you can pay 500 Life Points to Special Summon this card from the Graveyard.","Attribute EARTH","Level 1","Monster Type Reptile","Card Type Tuner / Effect","ATK 200","DEF 300","",""
"X-Saber Pashuul","Unlimited","Card Text This card cannot be destroyed by battle. During each of your opponent's Standby Phases: You take 1000 damage. You must control this card in face-up Defense Position to activate and to resolve this effect.","Attribute EARTH","Level 2","Monster Type Warrior","Card Type Tuner / Effect","ATK 100","DEF 0","",""
"Ally Salvo","Unlimited","Card Text When this card is destroyed by battle with a LIGHT monster and sent to the Graveyard, select 2 cards on the field and destroy them.","Attribute DARK","Level 2","Monster Type Machine","Card Type Effect","ATK 400","DEF 300","",""
"Ally of Justice Thousand Arms","Unlimited","Card Text This card can attack all face-up LIGHT monsters your opponent controls once each. If this card battles a non-LIGHT monster, destroy this card before damage calculation.","Attribute DARK","Level 4","Monster Type Machine","Card Type Effect","ATK 1700","DEF 0","",""
"Ally of Justice Unknown Crusher","Unlimited","Card Text When this card battles a LIGHT monster, remove that monster from play after damage calculation.","Attribute DARK","Level 3","Monster Type Machine","Card Type Effect","ATK 1200","DEF 800","",""
"Worm Falco","Unlimited","Card Text FLIP: Change all face-up Reptile-Type ""Worm"" monsters you control to face-down Defense Position, except this card.","Attribute LIGHT","Level 2","Monster Type Reptile","Card Type Effect","ATK 500","DEF 800","",""
"Worm Gulse","Unlimited","Card Text Each time a face-down Defense Position monster is flipped face-up, place 1 Worm Counter on this card. This card gains 300 ATK for each Worm Counter on it.","Attribute LIGHT","Level 4","Monster Type Reptile","Card Type Effect","ATK 1500","DEF 300","",""
"Worm Hope","Unlimited","Card Text FLIP: When this card is flipped face-up by an opponent's monster's attack, draw 1 card.When this card is sent from the field to the Graveyard, send 1 card from your hand to the Graveyard.","Attribute LIGHT","Level 1","Monster Type Reptile","Card Type Effect","ATK 800","DEF 1500","",""
"Worm Illidan","Unlimited","Card Text Each time a card is Set on your side of the field, place 1 Worm Counter on this card. You can remove 2 Worm Counters from this card to select 1 card your opponent controls, and destroy it.","Attribute LIGHT","Level 5","Monster Type Reptile","Card Type Effect","ATK 2000","DEF 1800","",""
"Worm Jetelikpse","Unlimited","Card Text FLIP: When this card is destroyed and sent to the Graveyard this turn: Special Summon it from the Graveyard in face-up Defense Position.","Attribute LIGHT","Level 3","Monster Type Reptile","Card Type Effect","ATK 1200","DEF 0","",""
"Worm King","Unlimited","Card Text This card can be Tribute Summoned in face-up Attack Position by Tributing 1 Reptile-Type ""Worm"" monster. You can Tribute 1 Reptile-Type ""Worm"" monster to select 1 card your opponent controls, and destroy it.","Attribute LIGHT","Level 8","Monster Type Reptile","Card Type Effect","ATK 2700","DEF 1100","",""
"Hydro Genex","Unlimited","Card Text ""Genex Controller"" + 1 or more non-Tuner WATER monstersWhen this card destroys an opponent's monster by battle and sends it to the Graveyard, gain Life Points equal to the ATK of the destroyed monster.","Attribute WATER","Level 6","Monster Type Machine","Card Type Synchro / Effect","ATK 2300","DEF 1800","",""
"X-Saber Wayne","Unlimited","Card Text 1 Tuner + 1 or more non-Tuner monstersWhen this card is Synchro Summoned, you can Special Summon 1 Level 4 or lower Warrior-Type monster from your hand.","Attribute EARTH","Level 5","Monster Type Warrior","Card Type Synchro / Effect","ATK 2100","DEF 400","",""
"Ally of Justice Light Gazer","Unlimited","Card Text 1 Tuner + 1 or more non-Tuner monstersThis card gains 200 ATK for each LIGHT monster in your opponent's Graveyard.","Attribute DARK","Level 8","Monster Type Machine","Card Type Synchro / Effect","ATK 2400","DEF 1600","",""
"Chaos-End Master","Unlimited","Card Text When this card destroys an opponent's monster by battle and sends it to the Graveyard, you can Special Summon 1 Level 5 or higher monster with 1600 or less ATK from your Deck.","Attribute LIGHT","Level 3","Monster Type Warrior","Card Type Tuner / Effect","ATK 1500","DEF 1000","",""
"Sphere of Chaos","Unlimited","Card Text While this card is face-up on the field its Attribute is also treated as LIGHT. Once per turn, this card cannot be destroyed by battle. When this card is Tribute Summoned, you can add 1 Level 3 monster from your Deck to your hand.","Attribute DARK","Level 5","Monster Type Machine","Card Type Effect","ATK 1600","DEF 0","",""
"Genex Neutron","Unlimited","Card Text Once per turn, during the End Phase, if this card was Normal Summoned this turn: You can add 1 Machine-Type Tuner monster from your Deck to your hand.","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Effect","ATK 1800","DEF 1200","",""
"Ally of Justice Cyclone Creator","Unlimited","Card Text Once per turn, you can discard 1 card from your hand to return Spell/Trap Cards from the field to the hand equal to the number of face-up Tuner monsters on the field.","Attribute DARK","Level 3","Monster Type Machine","Card Type Tuner / Effect","ATK 1400","DEF 1200","",""
"Road Synchron","Unlimited","Card Text When using this card as Synchro Material for the Synchro Summon of a monster other than ""Road Warrior"", reduce this card's Level by 2. If this card attacks, at the end of the Damage Step: Increase its Level by 1 until the end of this turn.","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Tuner / Effect","ATK 1600","DEF 800","",""
"Goblin Decoy Squad","Unlimited","Card Text When this card inflicts Battle Damage to your opponent, you can draw 1 card. If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannot be changed until the end of your next turn, except with a card effect.","Attribute DARK","Level 4","Monster Type Warrior","Card Type Effect","ATK 1000","DEF 0","",""
"Jade Knight","Unlimited","Card Text While this card is in Attack Position, Machine-Type monsters you control with 1200 or less ATK cannot be destroyed by Trap effects. When this card is destroyed by battle and sent to the Graveyard: You can add 1 Level 4 LIGHT Machine-Type monster from your Deck to your hand.","Attribute LIGHT","Level 4","Monster Type Machine","Card Type Effect","ATK 1000","DEF 1800","",""
"Tree Otter","Unlimited","Card Text Once per turn: You can target 1 face-up monster you control; it gains 1000 ATK until the end of this turn. You must control a Beast-Type monster (other than this card) to activate and to resolve this effect.","Attribute WATER","Level 2","Monster Type Beast","Card Type Effect","ATK 1200","DEF 100","",""
"Koalo-Koala","Unlimited","Card Text ""Sea Koala"" + ""Tree Otter""You can send 1 Beast-Type monster from your hand to the Graveyard to target 1 monster your opponent controls; destroy it.","Attribute EARTH","Level 6","Monster Type Beast","Card Type Fusion / Effect","ATK 2800","DEF 200","",""
"Zombie Mammoth","Unlimited","Card Text Destroy this card if you do not have a Zombie-Type monster in your Graveyard. When this face-up card is destroyed, inflict damage to its controller equal to its original ATK.","Attribute EARTH","Level 4","Monster Type Zombie","Card Type Effect","ATK 1900","DEF 0","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Doomkaiser Dragon","Unlimited","Card Text ""Plaguespreader Zombie"" + 1 or more non-Tuner Zombie-Type monstersWhen this card is Special Summoned: You can target 1 Zombie-Type monster in your opponent's Graveyard; Special Summon that target to your side of the field in face-up Attack Position, but destroy it when this card leaves the field.","Attribute FIRE","Level 6","Monster Type Zombie","Card Type Synchro / Effect","ATK 2400","DEF 1500","",""
"Plaguespreader Zombie","Unlimited","Card Text If this card is in your GY: You can place 1 card from your hand on the top of the Deck; Special Summon this card, but banish it when it leaves the field.","Attribute DARK","Level 2","Monster Type Zombie","Card Type Tuner / Effect","ATK 400","DEF 200","",""
"The White Stone of Legend","Unlimited","Card Text If this card is sent to the GY: Add 1 ""Blue-Eyes White Dragon"" from your Deck to your hand.","Attribute LIGHT","Level 1","Monster Type Dragon","Card Type Tuner / Effect","ATK 300","DEF 250","",""
"Revived King Ha Des","Unlimited","Card Text ""Plaguespreader Zombie"" + 1 or more non-Tuner Zombie-Type monstersNegate the effects of Effect Monsters destroyed by battle with Zombie-Type monsters you control.","Attribute DARK","Level 6","Monster Type Zombie","Card Type Synchro / Effect","ATK 2450","DEF 0","",""
"Cyber Shark","Unlimited","Card Text If you control a WATER monster, you can Normal Summon this card without Tributing.","Attribute WATER","Level 5","Monster Type Fish","Card Type Effect","ATK 2100","DEF 2000","",""
"Hand of the Six Samurai","Unlimited","Card Text If you control another ""Six Samurai"" monster: You can Tribute 1 ""Six Samurai"" monster, then target 1 monster on the field; destroy that target.","Attribute FIRE","Level 3","Monster Type Warrior","Card Type Effect","ATK 1600","DEF 1000","",""
"Red-Eyes Zombie Dragon","Unlimited","Card Text You can Tribute Summon this card in Attack Position by Tributing 1 Zombie monster. When this card destroys a Zombie monster by battle and sends it to the GY: You can Special Summon that Zombie monster.","Attribute DARK","Level 7","Monster Type Zombie","Card Type Effect","ATK 2400","DEF 2000","",""
"Malevolent Mech - Goku En","Unlimited","Card Text You can Normal Summon this card without Tributing. Once per turn, during the End Phase, if this card was Summoned this way: Send it to the GY, then take damage equal to its original ATK in the GY. This card must be the only Zombie monster on the field to activate and to resolve this effect.","Attribute LIGHT","Level 6","Monster Type Zombie","Card Type Effect","ATK 2400","DEF 1400","",""
"Paladin of the Cursed Dragon","Unlimited","Card Text Once per turn: You can target 1 Level 4 or lower Zombie monster in your opponent's GY, that was destroyed by battle; Special Summon that target.","Attribute LIGHT","Level 4","Monster Type Zombie","Card Type Effect","ATK 1900","DEF 1200","",""
"Zombie World","Unlimited","Card Text All monsters on the field and in the GYs become Zombie monsters. Neither player can Tribute Summon monsters, except Zombie monsters.","","","","","","","Icon Field Spell",""
"Imperial Iron Wall","Unlimited","Card Text Neither player can banish cards.","","","","","","","Icon Continuous Trap",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Enma's Judgment","Unlimited","Card Text When your opponent Special Summons a monster(s): Destroy it, then you can banish 5 Zombie monsters from your GY, and if you do, Special Summon 1 Level 7 or higher Zombie monster from your hand or Deck.","","","","","","","Icon Normal Trap",""
"Avenging Knight Parshath","Unlimited","Card Text 1 Tuner + 1 or more non-Tuner LIGHT monstersOnce per turn: You can target 1 face-up monster your opponent controls; change that target's battle position. If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.","Attribute LIGHT","Level 8","Monster Type Fairy","Card Type Synchro / Effect","ATK 2600","DEF 2100","",""
"Counselor Lily","Unlimited","Card Text When this card is sent to the Graveyard for a Synchro Summon, you can pay 500 Life Points to have that Synchro Monster gain 1000 ATK until the End Phase.","Attribute EARTH","Level 3","Monster Type Fairy","Card Type Tuner / Effect","ATK 400","DEF 1500","",""
"Grapple Blocker","Unlimited","Card Text When this card is Normal Summoned, you can select 1 monster your opponent controls. The selected monster cannot attack or be Tributed, while this card remains face-up on the field. During each of your End Phases, pay 500 Life Points or destroy this card.","Attribute EARTH","Level 4","Monster Type Psychic","Card Type Effect","ATK 1200","DEF 2000","",""
"Telekinetic Charging Cell","Unlimited","Card Text Equip only to a Psychic-Type monster. You do not have to pay Life Points to activate its effect(s). When the equipped monster is destroyed and this card is sent to the Graveyard, you can pay 1000 Life Points to return this card to your hand.","","","","","","","Icon Equip Spell",""
"Charge of the Light Brigade","Unlimited","Card Text Send the top 3 cards of your Deck to the Graveyard; add 1 Level 4 or lower ""Lightsworn"" monster from your Deck to your hand.","","","","","","","Icon Normal Spell",""
